"region_final","test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","BV_num","BV_num_LL","BV_num_UL","BY_num","BY_num_LL","BY_num_UL","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","BV_num_roll","BV_num_roll_LL","BV_num_roll_UL","BY_num_roll","BY_num_roll_LL","BY_num_roll_UL","test_roll","diff"
"Eastern Asia",157,11,11,11,14,14,14,0,0,0,0,0,0,2019-02-18,9.59999999999996,9.59999999999975,9.60000000000012,9.80000000000001,9.80000000000014,9.80000000000007,1.29999999999987,0.0650000000000929,2.53500000000004,1.30000000000005,0.0650000000000174,2.53500000000004,134.2,7
"Eastern Asia",264,18,18,18,22,22,22,6.5,0.325,12.675,6.5,0.325,12.675,2019-02-25,8.39999999999996,8.39999999999975,8.40000000000012,12.4,12.4000000000001,12.4000000000001,1.29999999999987,0.0650000000000929,2.53500000000004,1.30000000000005,0.0650000000000174,2.53500000000004,161.2,7
"Eastern Asia",80,0,0,0,6,6,6,0,0,0,0,0,0,2019-03-04,5.79999999999996,5.79999999999975,5.80000000000012,13,13.0000000000001,13.0000000000001,1.29999999999987,0.0650000000000929,2.53500000000004,1.30000000000005,0.0650000000000174,2.53500000000004,156,7
"Eastern Asia",151,0,0,0,14,14,14,0,0,0,0,0,0,2019-03-11,3.59999999999996,3.59999999999975,3.60000000000012,14.8,14.8000000000001,14.8000000000001,1.29999999999987,0.0650000000000929,2.53500000000004,1.30000000000005,0.0650000000000174,2.53500000000004,148.8,7
"Eastern Asia",128,0,0,0,9,9,9,0,0,0,0,0,0,2019-03-18,2.39999999999996,2.39999999999975,2.40000000000012,13.4,13.4000000000001,13.4000000000001,0.599999999999866,0.0300000000000929,1.17000000000004,0.600000000000047,0.0300000000000174,1.17000000000004,130.4,7
"Eastern Asia",121,0,0,0,23,23,23,0,0,0,0,0,0,2019-03-25,2.39999999999996,2.39999999999975,2.40000000000012,13,13.0000000000001,13.0000000000001,0.599999999999866,0.0300000000000929,1.17000000000004,0.600000000000047,0.0300000000000174,1.17000000000004,133.2,7
"Eastern Asia",172,12,12,12,15,15,15,3,0.15,5.85,3,0.15,5.85,2019-04-01,2.39999999999996,2.39999999999975,2.40000000000012,10.6,10.6000000000001,10.6000000000001,0.599999999999866,0.0300000000000929,1.17000000000004,0.600000000000047,0.0300000000000174,1.17000000000004,114,7
"Eastern Asia",94,0,0,0,4,4,4,0,0,0,0,0,0,2019-04-08,2.39999999999996,2.39999999999975,2.40000000000012,8.80000000000001,8.80000000000014,8.80000000000007,0.599999999999866,0.0300000000000929,1.17000000000004,0.600000000000047,0.0300000000000174,1.17000000000004,97.4,7
"Eastern Asia",55,0,0,0,2,2,2,0,0,0,0,0,0,2019-04-15,3.59999999999996,3.59999999999975,3.60000000000012,5.80000000000001,5.80000000000014,5.80000000000007,0.899999999999866,0.0450000000000929,1.75500000000004,0.900000000000047,0.0450000000000174,1.75500000000004,94.2,7
"Eastern Asia",45,0,0,0,0,0,0,0,0,0,0,0,0,2019-04-22,1.19999999999996,1.19999999999975,1.20000000000012,2.80000000000001,2.80000000000014,2.80000000000007,0.299999999999866,0.0150000000000929,0.585000000000038,0.300000000000047,0.0150000000000174,0.585000000000038,66.8,7
"Eastern Asia",105,6,6,6,8,8,8,1.5,0.075,2.925,1.5,0.075,2.925,2019-04-29,1.19999999999996,1.19999999999975,1.20000000000012,2.20000000000001,2.20000000000014,2.20000000000007,0.299999999999866,0.0150000000000929,0.585000000000038,0.300000000000047,0.0150000000000174,0.585000000000038,52,7
"Eastern Asia",35,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-06,1.19999999999996,1.19999999999975,1.20000000000012,1.80000000000001,1.80000000000014,1.80000000000007,0.599999999999866,0.0300000000000929,1.17000000000004,0.600000000000047,0.0300000000000174,1.17000000000004,43.4,7
"Eastern Asia",20,0,0,0,1,1,1,0,0,0,0,0,0,2019-05-13,1.19999999999996,1.19999999999975,1.20000000000012,1.80000000000001,1.80000000000014,1.80000000000007,0.599999999999866,0.0300000000000929,1.17000000000004,0.600000000000047,0.0300000000000174,1.17000000000004,36.8,7
"Eastern Asia",12,0,0,0,0,0,0,1.5,0.075,2.925,1.5,0.075,2.925,2019-05-20,0.999999999999959,0.999999999999747,1.00000000000012,1.20000000000001,1.20000000000014,1.20000000000007,0.299999999999866,0.0150000000000929,0.585000000000038,0.300000000000047,0.0150000000000174,0.585000000000038,27.8,7
"Eastern Asia",12,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-27,0.999999999999959,0.999999999999747,1.00000000000012,1.20000000000001,1.20000000000014,1.20000000000007,0.299999999999866,0.0150000000000929,0.585000000000038,0.300000000000047,0.0150000000000174,0.585000000000038,23.8,7
"Eastern Asia",60,5,5,5,5,5,5,0,0,0,0,0,0,2019-06-03,0.999999999999959,0.999999999999747,1.00000000000012,1.00000000000001,1.00000000000014,1.00000000000007,0.299999999999866,0.0150000000000929,0.585000000000038,0.300000000000047,0.0150000000000174,0.585000000000038,21.2,7
"Eastern Asia",15,0,0,0,0,0,0,0,0,0,0,0,0,2019-06-10,0.999999999999959,0.999999999999747,1.00000000000012,1.00000000000001,1.00000000000014,1.00000000000007,-1.33582034322899e-13,9.28757071250175e-14,3.84137166520304e-14,4.74120742666173e-14,1.74416037168612e-14,3.8130609780751e-14,19.6,7
"Eastern Asia",7,0,0,0,0,0,0,0,0,0,0,0,0,2019-06-17,1.59999999999996,1.59999999999975,1.60000000000012,1.60000000000001,1.60000000000014,1.60000000000007,0.0999999999998664,0.00500000000009288,0.195000000000038,0.100000000000047,0.00500000000001744,0.195000000000038,24.4,7
"Eastern Asia",4,0,0,0,0,0,0,0,0,0,0,0,0,2019-06-24,0.599999999999959,0.599999999999747,0.600000000000118,0.600000000000012,0.600000000000145,0.600000000000072,0.0999999999998664,0.00500000000009288,0.195000000000038,0.100000000000047,0.00500000000001744,0.195000000000038,13.4,7
"Eastern Asia",36,3,3,3,3,3,3,0.5,0.025,0.975,0.5,0.025,0.975,2019-07-01,0.599999999999959,0.599999999999747,0.600000000000118,0.600000000000012,0.600000000000145,0.600000000000072,0.0999999999998664,0.00500000000009288,0.195000000000038,0.100000000000047,0.00500000000001744,0.195000000000038,11.8,7
"Eastern Asia",5,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-08,0.599999999999959,0.599999999999747,0.600000000000118,0.600000000000012,0.600000000000145,0.600000000000072,0.0999999999998664,0.00500000000009288,0.195000000000038,0.100000000000047,0.00500000000001744,0.195000000000038,11.2,7
"Eastern Asia",7,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-15,0.999999999999959,0.999999999999747,1.00000000000012,1.00000000000001,1.00000000000014,1.00000000000007,0.0999999999998664,0.00500000000009288,0.195000000000038,0.100000000000047,0.00500000000001744,0.195000000000038,16,7
"Eastern Asia",4,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-22,0.399999999999959,0.399999999999747,0.400000000000118,0.400000000000012,0.400000000000145,0.400000000000072,-1.33582034322899e-13,9.28757071250175e-14,3.84137166520304e-14,4.74120742666173e-14,1.74416037168612e-14,3.8130609780751e-14,9.6,7
"Eastern Asia",28,2,2,2,2,2,2,0,0,0,0,0,0,2019-07-29,0.399999999999959,0.399999999999747,0.400000000000118,0.400000000000012,0.400000000000145,0.400000000000072,-1.33582034322899e-13,9.28757071250175e-14,3.84137166520304e-14,4.74120742666173e-14,1.74416037168612e-14,3.8130609780751e-14,9.2,7
"Eastern Asia",4,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-05,0.399999999999959,0.399999999999747,0.400000000000118,0.400000000000012,0.400000000000145,0.400000000000072,-1.33582034322899e-13,9.28757071250175e-14,3.84137166520304e-14,4.74120742666173e-14,1.74416037168612e-14,3.8130609780751e-14,8.6,7
"Eastern Asia",3,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-12,0.399999999999959,0.399999999999747,0.400000000000118,0.400000000000012,0.400000000000145,0.400000000000072,-1.33582034322899e-13,9.28757071250175e-14,3.84137166520304e-14,4.74120742666173e-14,1.74416037168612e-14,3.8130609780751e-14,9.2,7
"Eastern Asia",4,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-19,1.39999999999996,1.39999999999975,1.40000000000012,1.60000000000001,1.60000000000014,1.60000000000007,-1.33582034322899e-13,9.28757071250175e-14,3.84137166520304e-14,4.74120742666173e-14,1.74416037168612e-14,3.8130609780751e-14,13.4,7
"Eastern Asia",7,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-26,1.39999999999996,1.39999999999975,1.40000000000012,1.60000000000001,1.60000000000014,1.60000000000007,-1.33582034322899e-13,9.28757071250175e-14,3.84137166520304e-14,4.74120742666173e-14,1.74416037168612e-14,3.8130609780751e-14,15.2,7
"Eastern Asia",49,7,7,7,8,8,8,0,0,0,0,0,0,2019-09-02,1.39999999999996,1.39999999999975,1.40000000000012,1.60000000000001,1.60000000000014,1.60000000000007,-1.33582034322899e-13,9.28757071250175e-14,3.84137166520304e-14,4.74120742666173e-14,1.74416037168612e-14,3.8130609780751e-14,16,7
"Eastern Asia",13,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-09,1.39999999999996,1.39999999999975,1.40000000000012,1.60000000000001,1.60000000000014,1.60000000000007,-1.33582034322899e-13,9.28757071250175e-14,3.84137166520304e-14,4.74120742666173e-14,1.74416037168612e-14,3.8130609780751e-14,17.4,7
"Eastern Asia",7,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-16,4.59999999999996,4.59999999999975,4.60000000000012,4.60000000000001,4.60000000000015,4.60000000000007,0.399999999999866,0.0200000000000929,0.780000000000038,0.400000000000047,0.0200000000000174,0.780000000000038,37.4,7
"Eastern Asia",11,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-23,3.19999999999996,3.19999999999975,3.20000000000012,3.00000000000001,3.00000000000014,3.00000000000007,0.399999999999866,0.0200000000000929,0.780000000000038,0.400000000000047,0.0200000000000174,0.780000000000038,31.4,7
"Eastern Asia",107,16,16,16,15,15,15,2,0.1,3.9,2,0.1,3.9,2019-09-30,3.19999999999996,3.19999999999975,3.20000000000012,3.00000000000001,3.00000000000014,3.00000000000007,0.399999999999866,0.0200000000000929,0.780000000000038,0.400000000000047,0.0200000000000174,0.780000000000038,33,7
"Eastern Asia",19,0,0,0,0,0,0,0,0,0,0,0,0,2019-10-07,3.19999999999996,3.19999999999975,3.20000000000012,3.00000000000001,3.00000000000014,3.00000000000007,0.399999999999866,0.0200000000000929,0.780000000000038,0.400000000000047,0.0200000000000174,0.780000000000038,44,7
"Eastern Asia",21,0,0,0,0,0,0,0,0,0,0,0,0,2019-10-14,3.19999999999996,3.19999999999975,3.20000000000012,3.00000000000001,3.00000000000014,3.00000000000007,0.399999999999866,0.0200000000000929,0.780000000000038,0.400000000000047,0.0200000000000174,0.780000000000038,54.2,7
"Eastern Asia",62,0,0,0,0,0,0,0,0,0,0,0,0,2019-10-21,3.19999999999996,3.19999999999975,3.20000000000012,2.00000000000001,2.00000000000014,2.00000000000007,1.49999999999987,0.455000000000093,2.54500000000004,1.10000000000005,0.0550000000000174,2.14500000000004,67.6,7
"Eastern Asia",62,0,0,0,0,0,0,0,0,0,0,0,0,2019-10-28,3.19999999999996,3.19999999999975,3.20000000000012,2.00000000000001,2.00000000000014,2.00000000000007,1.49999999999987,0.455000000000093,2.54500000000004,1.10000000000005,0.0550000000000174,2.14500000000004,80.4,7
"Eastern Asia",174,16,16,16,10,10,10,7.5,2.275,12.725,5.5,0.275,10.725,2019-11-04,3.19999999999996,3.19999999999975,3.20000000000012,2.00000000000001,2.00000000000014,2.00000000000007,1.89999999999987,0.855000000000093,2.94500000000004,1.10000000000005,0.0550000000000174,2.14500000000004,96.2,7
"Eastern Asia",83,0,0,0,0,0,0,0,0,0,0,0,0,2019-11-11,3.19999999999996,3.19999999999975,3.20000000000012,2.00000000000001,2.00000000000014,2.00000000000007,2.89999999999987,1.85500000000009,3.94500000000004,1.10000000000005,0.0550000000000174,2.14500000000004,98,7
"Eastern Asia",100,0,0,0,0,0,0,2,2,2,0,0,0,2019-11-18,3.19999999999996,3.19999999999975,3.20000000000012,2.00000000000001,2.00000000000014,2.00000000000007,7.24736842105251,6.06969803186223,8.34359444383268,1.15263157894742,0.0564055561673869,2.33030196813789,108.4,7
"Eastern Asia",71,0,0,0,0,0,0,5,5,5,0,0,0,2019-11-25,-4.08006961549745e-14,-2.53308485298476e-13,1.18127729820117e-13,1.2445600106048e-14,1.44745326835505e-13,7.20978832191577e-14,9.33684210526303,9.17763763823465,9.3983133325992,0.0631578947368894,0.00168666740086075,0.222362361765461,101.8,7
"Eastern Asia",114,0,0,0,0,0,0,21.7368421052632,21.0734901593107,21.9929722191632,0.263157894736842,0.00702778083684711,0.926509840689261,2019-12-02,-4.08006961549745e-14,-2.53308485298476e-13,1.18127729820117e-13,1.2445600106048e-14,1.44745326835505e-13,7.20978832191577e-14,19.2631578947367,18.9119439934727,19.3963980457301,0.136842105263205,0.00360195427000581,0.488056006527433,121,7
"Eastern Asia",141,0,0,0,0,0,0,17.9473684210526,17.8146980318621,17.9985944438326,0.0526315789473684,0.00140555616736942,0.185301968137852,2019-12-09,-4.08006961549745e-14,-2.53308485298476e-13,1.18127729820117e-13,1.2445600106048e-14,1.44745326835505e-13,7.20978832191577e-14,36.1893117408905,35.6431003644168,36.3944995856626,0.210688259109359,0.005500414337449,0.756899635583289,153.2,7
"Eastern Asia",179,0,0,0,0,0,0,49.6315789473684,48.6715317761901,49.9904235656543,0.368421052631579,0.00957643434572531,1.32846822380986,2019-12-16,-4.08006961549745e-14,-2.53308485298476e-13,1.18127729820117e-13,1.20000000000001,1.20000000000014,1.20000000000007,40.7035974551763,39.9399201166473,40.9922224245663,0.296402544823645,0.00777757543375864,1.06007988335284,168.8,7
"Eastern Asia",261,0,0,0,0,0,0,86.6307692307692,85.6557818547207,86.9905076996628,0.369230769230769,0.00949230033721594,1.34421814527928,2019-12-23,0.0111111111110703,0.000297634878000018,0.0390128645939367,4.58888888888889,4.56098713540633,4.59970236512181,50.5244830023776,49.8096968159265,50.7928114439788,0.275516997622308,0.00718855602130386,0.990303184073572,197.2,7
"Eastern Asia",149,0,0,0,6,6,6,27.5714285714286,26.4840987611522,27.9886141945185,0.428571428571429,0.0113858054815482,1.51590123884777,2019-12-30,0.0175627240142961,0.000462728299662461,0.0625948372376475,23.3824372759857,23.3374051627626,23.3995372717002,52.6086935286934,51.6020324860233,52.9897192204105,0.391306471306519,0.0102807795895166,1.39796751397685,222.8,7
"Eastern Asia",256,0.0555555555555556,0.00148817439126663,0.195064322969093,16.9444444444444,16.8049356770309,16.9985118256087,70.8412698412698,70.4223736557071,70.9959173162254,0.158730158730159,0.00408268377457322,0.57762634429291,2020-01-06,1.18490966278981,0.92154777554792,1.60412847177355,62.0150903372101,61.5958715282266,62.278452224452,45.5045999614419,44.2766594947007,45.9865789496297,0.495400038557981,0.0134210503703746,1.72334050529939,265.4,7
"Eastern Asia",269,0.032258064516129,0.000825467108312216,0.117909863218554,93.9677419354839,93.8820901367814,93.9991745328917,28.3684210526316,26.7763763823458,28.9831333259916,0.631578947368421,0.0168666740084331,2.22362361765423,2020-01-13,3.60046521834536,3.32194305357643,4.06133124315724,121.399534781654,120.938668756843,121.678056946423,29.1784461152881,27.1955031237566,30.5384774096971,1.42155388471183,0.0615225903029314,3.40449687624353,342.4,7
"Eastern Asia",392,5.83673469387755,4.60542523624129,7.70766817267953,193.163265306122,191.29233182732,194.394574763759,14.1111111111111,12.0446668195774,14.97472221175,0.888888888888889,0.0252777882500153,2.95533318042255,2020-01-20,3.62046521834536,3.32245573715132,4.13432524757102,137.379534781654,136.865674752429,137.677544262848,23.9641604010024,21.9136833715262,25.5257545707934,1.63583959899754,0.0742454292066218,3.68631662847398,345.4,7
"Eastern Asia",646,12.0777777777778,12.0019763901425,12.2860138569184,296.922222222222,296.713986143082,296.998023609857,5,0.25,9.75,5,0.25,9.75,2020-01-27,3.61162683450698,3.32221629566268,4.10361529617573,151.388373165493,150.896384703825,151.677783704337,9.99590643274841,7.83920864038473,11.7165711075484,1.80409356725151,0.0834288924517071,3.96079135961539,377.6,7
"Eastern Asia",164,0.1,0.00256341787443413,0.364970022068889,85.9,85.6350299779311,85.9974365821256,1.5,0.075,2.925,1.5,0.075,2.925,2020-02-03,3.60517522160375,3.32205120224102,4.08003332353202,138.194824778396,137.719966676468,138.477948797759,4.32222222222209,2.48393336391557,5.91994444235004,1.67777777777783,0.0800555576500205,3.51606663608455,363.8,7
"Eastern Asia",417,0.0113636363636364,0.000290966948080257,0.0415145659926378,86.9886363636364,86.9584854340074,86.9997090330519,1,0.05,1.95,1,0.05,1.95,2020-02-10,4.85449494949491,4.80142594943552,4.99548251957974,102.945505050505,102.804517480421,102.998574050564,1.59999999999987,0.0800000000000925,3.12000000000004,1.60000000000005,0.0800000000000174,3.12000000000004,368,7
"Eastern Asia",200,0,0,0,28,28,28,0,0,0,0,0,0,2020-02-17,2.43893939393935,2.40103067140701,2.53827974819605,44.1610606060606,44.0617202518042,44.1989693285928,0.699999999999866,0.0350000000000925,1.36500000000004,0.700000000000047,0.0350000000000174,1.36500000000004,281.2,7
"Eastern Asia",413,12.0833333333333,12.0022989722138,12.2849141529182,16.9166666666667,16.7150858470818,16.9977010277862,0.5,0.025,0.975,0.5,0.025,0.975,2020-02-24,2.41893939393935,2.40051798783213,2.46528574378228,27.3810606060606,27.334714256218,27.3994820121677,0.499999999999866,0.0250000000000925,0.975000000000039,0.500000000000047,0.0250000000000174,0.975000000000038,373.4,7
"Eastern Asia",212,0,0,0,3,3,3,0.5,0.025,0.975,0.5,0.025,0.975,2020-03-02,2.51666666666663,2.40545979444251,2.65198283058375,10.0833333333333,9.94801716941651,10.1945402055573,0.299999999999866,0.0150000000000925,0.585000000000039,0.300000000000047,0.0150000000000174,0.585000000000038,309.2,7
"Eastern Asia",625,0,0,0,2,2,2,0.5,0.025,0.975,0.5,0.025,0.975,2020-03-09,2.51666666666663,2.40545979444251,2.65198283058375,4.48333333333335,4.34801716941651,4.59454020555731,0.599999999999866,0.0300000000000925,1.17000000000004,0.600000000000047,0.0300000000000174,1.17000000000004,285.2,7
"Eastern Asia",96,0.5,0.025,0.975,0.5,0.025,0.975,0,0,0,0,0,0,2020-03-16,2.09999999999996,1.81499999999975,2.38500000000012,2.70000000000001,2.41500000000015,2.98500000000007,0.699999999999866,0.0350000000000925,1.36500000000004,0.700000000000047,0.0350000000000174,1.36500000000004,235.8,7
"Eastern Asia",80,0,0,0,0,0,0,1.5,0.075,2.925,1.5,0.075,2.925,2020-03-23,2.09999999999996,1.81499999999975,2.38500000000012,2.10000000000001,1.81500000000015,2.38500000000007,0.599999999999866,0.0300000000000925,1.17000000000004,0.600000000000047,0.0300000000000174,1.17000000000004,217.4,7
"Eastern Asia",166,10,9.05,10.95,8,7.05,8.95,1,0.05,1.95,1,0.05,1.95,2020-03-30,2.09999999999996,1.81499999999975,2.38500000000012,1.70000000000001,1.41500000000015,1.98500000000007,0.499999999999866,0.0250000000000925,0.975000000000039,0.500000000000047,0.0250000000000174,0.975000000000038,108.6,7
"Eastern Asia",120,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-06,1.99999999999996,1.80999999999975,2.19000000000012,1.60000000000001,1.41000000000015,1.79000000000007,0.499999999999866,0.0250000000000925,0.975000000000039,0.500000000000047,0.0250000000000174,0.975000000000038,110.2,7
