"test","BV_num","BV_num_LL","BV_num_UL","BY_num","BY_num_LL","BY_num_UL","date","BV_num_roll","BV_num_roll_LL","BV_num_roll_UL","BY_num_roll","BY_num_roll_LL","BY_num_roll_UL","test_roll","diff"
16431,171.466666666667,69.588547525855,266.57921667271,119.533333333333,24.4207833272897,221.411452474145,2010-06-21,180.26510989011,67.1559164162678,281.201693584997,125.73489010989,24.7983064150028,238.844083583732,16478.4,7
17661,193.630952380952,68.4151314362436,308.357775125642,142.369047619048,27.6422248743575,267.584868563756,2010-06-28,176.396354668723,60.5785359663392,285.536664032163,143.403645331277,34.2633359678365,259.221464033661,16245.8,7
15406,164.016025641026,46.4656764056271,280.456457082362,163.983974358974,47.543542917638,281.534323594373,2010-07-05,180.63241983163,57.4033722004029,300.171223483341,166.56758016837,47.0287765166589,289.796627799597,16212.2,7
15745,189.251461988304,52.1268201844749,325.645065821086,194.748538011696,58.3549341789144,331.873179815525,2010-07-12,186.924179665999,49.73738911584,322.564269799928,194.675820334001,59.0357302000719,331.86261088416,16283,7
15818,184.796992481203,50.4206854498139,319.817602714905,212.203007518797,77.182397285095,346.579314550186,2010-07-19,184.155883926651,42.6951551673434,326.412045008963,208.244116073349,65.9879549910369,349.704844832657,15892.2,7
16785,202.925465838509,31.2586321030404,378.544448255645,260.074534161491,84.4555517443548,431.74136789696,2010-07-26,184.486012131779,35.0097645226337,337.911590526205,224.913987868221,71.4884094737949,374.390235477366,15896.2,7
15707,179.789473684211,33.2039616937604,327.596651170818,210.21052631579,62.4033488291821,356.79603830624,2010-08-02,192.098877628855,28.765613063608,357.202307188072,239.901122371145,74.7976928119284,403.234386936392,15929,7
15426,165.666666666667,8.03872318207842,337.954184668572,247.333333333333,75.0458153314284,404.961276817921,2010-08-09,193.509749402885,20.7418132200572,370.27496259755,255.690250597116,78.9250374024504,428.458186779943,16024.8,7
15909,227.315789473684,20.9060628893464,422.098649130418,269.684210526316,74.9013508695816,476.093937110654,2010-08-16,186.787217811537,17.4768810518809,361.5149810296,252.412782188463,77.6850189704002,421.723118948119,16282,7
16297,191.851351351351,10.3016862320599,385.180879762295,291.148648648649,97.8191202377048,472.69831376794,2010-08-23,185.695989741362,12.7935841366141,363.787579841087,251.504010258638,73.412420158913,424.406415863386,16510.2,7
18071,169.312807881773,14.933971262159,334.744540415896,243.687192118227,78.2554595841042,398.066028737841,2010-08-30,181.090232165604,13.5074872242663,351.642310871717,242.509767834396,71.957689128283,410.092512775734,16905.4,7
16848,174.333333333333,9.78747711742632,338.959645228254,205.666666666667,41.0403547717459,370.212522882574,2010-09-06,167.693740937534,11.9663393296764,329.419828104259,236.906259062466,75.1801718957411,392.633660670324,17196.2,7
17402,142.637878787879,11.6082386203398,277.227839821721,202.362121212121,67.7721601782786,333.39176137966,2010-09-13,157.026327810121,12.0914237433943,307.259869667635,218.173672189879,67.9401303323652,363.108576256606,17412,7
17363,160.333333333333,13.2003234163967,310.986235293128,241.666666666667,91.0137647068723,388.799676583603,2010-09-20,157.933766233766,11.0110975241424,309.211371058037,213.066233766234,61.7886289419628,359.988902475858,17271.8,7
17376,138.514285714286,10.9271083006493,274.381087579175,197.485714285714,61.6189124208248,325.072891699351,2010-09-27,156.088938647559,11.865115083292,305.784312453849,212.911061352441,63.2156875461513,357.134884916708,17612.2,7
17370,173.85,9.53234016589978,344.502047367907,218.15,47.4979526320925,382.4676598341,2010-10-04,163.061362889984,14.4096422593228,314.658152916764,204.138637110016,52.5418470832363,352.790357740677,17889.4,7
18550,165.109195402299,14.0575649131741,321.824352207312,204.890804597701,48.1756477926881,355.942435086826,2010-10-11,163.543414172035,14.251385515081,315.799528868649,193.256585827965,41.0004711313509,342.548614484919,18207.8,7
18788,177.5,24.330874500494,321.597042136296,158.5,14.4029578637037,311.669125499506,2010-10-18,175.192937981559,15.2122020949679,337.536696878389,198.207062018441,35.8633031216112,358.187797905032,18498.2,7
18955,162.74358974359,12.4090396951877,316.693115052555,187.25641025641,33.3068849474451,337.590960304812,2010-10-25,182.052937981559,17.2936541193512,349.322954487655,200.147062018441,32.8770455123452,364.906345880649,19058,7
18828,196.761904761905,15.7311912000834,383.066927627873,222.238095238095,35.9330723721267,403.268808799917,2010-11-01,203.611098901099,18.8399633986585,389.720735959807,213.188901098901,27.0792640401926,397.960036601341,19388.6,7
20169,208.15,19.9396002878164,403.433335414237,227.85,32.5666645857625,416.060399712184,2010-11-08,232.405795870796,21.5082851715538,448.954685752922,250.194204129204,33.645314247078,461.091714828446,20151.8,7
20203,272.9,21.7891113097109,523.813259568075,270.1,19.1867404319249,521.210888690289,2010-11-15,274.584855699856,38.4492245596145,514.53376783422,274.615144300144,34.6662321657803,510.750775440385,21010,7
22604,321.473484848485,37.6724833649702,617.766791101869,343.526515151515,47.2332088981306,627.32751663503,2010-11-22,325.171522366522,58.764351969546,593.204814198258,301.628477633478,33.5951858017421,568.035648030454,22051.8,7
23246,373.638888888889,97.1137366354916,644.588525459043,309.361111111111,38.4114745409569,585.886263364509,2010-11-29,421.519389330476,104.48040006301,737.793875102762,354.480610669524,38.2061248972378,671.51959993699,23374,7
24037,449.695238095238,117.306828249741,776.422159448064,357.304761904762,30.5778405519357,689.693171750259,2010-12-06,557.045891924182,165.511219867718,943.850451076608,432.754108075818,45.9495489233921,824.288780132282,25463.6,7
26780,689.88933481977,248.519840755139,1126.37863993676,492.11066518023,55.621360063241,933.480159244861,2010-12-13,726.500417452418,235.907940312516,1204.346913028,524.899582547582,47.0530869720026,1015.49205968748,28069.8,7
30651,950.53251296853,326.943210333249,1554.0961394373,661.467487031469,57.9038605626965,1285.05678966675,2010-12-20,946.528186875976,359.872212534195,1514.19121324633,624.471813124024,56.8087867536689,1211.12778746581,32195.4,7
35635,1168.74611248966,389.656085588957,1920.24910085882,804.253887510339,52.750899141183,1583.34391441104,2010-12-27,1201.20181544017,488.308222317718,1889.29311186611,756.998184559831,68.9068881338897,1469.89177768228,36842,7
43874,1473.77773600668,716.935097743889,2193.81002655071,807.222263993317,87.1899734492881,1564.06490225611,2011-01-03,1493.40716976473,624.323621366914,2330.43669865173,915.392830235269,78.3633013482703,1784.47637863309,42017.8,7
47270,1723.0633809162,759.486877167357,2651.93165254696,1019.9366190838,91.0683474530396,1983.51312283264,2011-01-10,1792.08716067752,755.657692409019,2792.27752843999,1090.31283932248,90.1224715600107,2126.74230759098,46728.2,7
52659,2150.91610644258,928.596836001116,3332.09657386486,1284.08389355742,102.903426135144,2506.40316399888,2011-01-17,2122.89881728511,882.786516589621,3319.26012495947,1302.50118271489,106.139875040526,2542.61348341038,50915.6,7
54203,2443.93246753247,983.613565543774,3863.3002883786,1536.06753246753,116.699711621398,2996.38643445623,2011-01-24,2433.43714371014,964.749342431689,3816.85434395695,1494.76285628986,111.345656043049,2963.45065756831,53842.2,7
56572,2822.8043955276,1025.30020649197,4555.16208345624,1865.1956044724,132.837916543761,3662.69979350803,2011-01-31,2615.04124530468,1013.85682428891,4101.43402327442,1622.15875469532,135.765976725575,3223.34317571109,56214,7
58507,3026.46936813187,1126.74922695423,4681.7811215381,1768.53063186813,113.218878461904,3668.25077304577,2011-02-07,2615.25109760924,948.593579648426,4165.33904925053,1697.34890239076,147.260950749468,3364.00642035157,55396.6,7
59129,2631.08388888889,1005.02428645344,4074.83004913433,1656.91611111111,213.169950865669,3282.97571354656,2011-02-14,2463.21566451189,831.723511318857,3987.14732468797,1703.98433548811,180.05267531203,3335.47648868114,54274.6,7
