"test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","test_roll","diff"
24114,508.322914411977,469.054612933633,542.520459352641,190.677085588023,156.479540647359,229.945387066368,2018-08-27,503.475258818942,474.24341159475,530.457914163038,199.9818840382,173.018629102962,229.269816838274,24866.4,7
26294,481.06589010989,452.786428004135,507.900561633164,247.93410989011,221.099438366836,276.213571995865,2018-09-03,577.073907223246,544.396781749399,606.873377164957,232.46894991961,202.684758496342,265.161353911903,26855.2,7
29406,720.808572534705,683.753583351203,752.70762914074,269.905713179581,238.083049165767,307.037094955304,2018-09-10,639.271791896712,602.94641506321,673.036805591835,257.271065246144,223.521330069463,293.611720598093,29136.6,7
31819,750.606820522226,715.503319500018,784.267199138305,291.393179477775,257.732800861695,326.496680499982,2018-09-17,742.959099213146,703.771621680907,779.14804026446,294.98375792971,258.810095396838,334.186513980395,33955.2,7
34050,735.554761904762,693.634131527059,777.788178694329,286.445238095238,244.211821305671,328.365868472941,2018-09-24,835.758117212529,794.078775753265,873.570166220402,299.384739930327,261.587969440896,341.079359908038,38113.8,7
48207,1026.75945099415,973.180646022123,1073.07663271577,379.240549005852,332.923367284233,432.819353977878,2018-10-01,908.932361750284,864.033080776339,949.789421545172,326.067638249715,285.210578454825,370.966919223662,42597.6,7
47087,945.060980106806,904.32219836592,980.011191412872,269.939019893194,234.988808587127,310.677801634079,2018-10-08,1070.8785624263,1020.90147692837,1116.16722296963,377.9214375737,332.632777030367,427.898523071635,47446.2,7
51825,1086.67979522348,1033.52510846658,1133.80390576459,403.320204776519,356.196094235407,456.474891533423,2018-10-15,1294.41676675871,1240.33993787901,1341.3050647109,396.383233241285,349.494935289093,450.460062120987,51904.8,7
56062,1560.3378239023,1499.84530026015,1616.15620626059,550.662176097703,494.843793739409,611.154699739848,2018-10-22,1538.71278287017,1478.64977625678,1590.51468042429,416.487217129828,364.685319575708,476.550223743219,54518.2,7
56343,1853.24578356684,1790.8264362803,1903.4773874007,378.754216433162,328.522612599298,441.1735637197,2018-10-29,1882.01793529674,1814.04789173321,1941.1974352797,482.98206470326,423.802564720299,550.952108266794,57926.2,7
61274,2248.23953155143,2164.72983791096,2319.12471128269,479.760468448567,408.87528871731,563.270162089042,2018-11-05,2238.59925197618,2163.07077380256,2303.77118558814,527.800748023821,462.628814411862,603.329226197443,60475.8,7
64127,2661.58674223965,2581.31277574805,2733.42496568992,602.413257760353,530.575034310081,682.687224251954,2018-11-12,2777.96280766285,2686.1347143826,2856.36897931668,583.237192337146,504.831020683314,675.065285617403,64074,7
64573,2869.58637862067,2778.63951881333,2946.67265730678,627.413621379325,550.327342693223,718.360481186666,2018-11-19,3482.80377120014,3350.00765934054,3597.11082497693,753.596228799861,639.289175023067,886.39234065946,68215,7
74053,4257.15560233567,4115.16500316035,4379.14517490333,827.844397664328,705.85482509667,969.834996839647,2018-11-26,4681.53778314349,4502.08582883281,4836.44390715923,1042.46221685651,887.556092840766,1221.91417116719,73021.4,7
77048,5377.45060125327,5110.19116107001,5607.18661570193,1230.54939874674,1000.81338429806,1497.80883892999,2018-12-03,6674.75841440702,6429.03587717905,6887.23975588253,1539.04158559298,1326.56024411747,1784.76412282095,79509.2,7
85306,8241.90959126819,7925.12068537232,8515.7901221942,1924.09040873182,1650.20987780581,2240.87931462768,2018-12-10,9095.49559127124,8740.29932904801,9393.66018023035,2182.30440872876,1884.13981976965,2537.50067095199,85563.6,7
96566,12627.6898985573,12216.0630174793,12987.4042093064,3085.31010144268,2725.59579069359,3496.93698252075,2018-12-17,11483.2961502001,11048.1649576217,11842.0173238025,2890.3038497999,2531.58267619746,3325.43504237826,92343.2,7
94845,14973.2722629417,14334.9567781581,15478.7747790459,3843.72773705826,3338.22522095413,4482.04322184188,2018-12-24,14811.5103716431,14315.8566474201,15215.2138984452,3814.68962835685,3410.98610155479,4310.34335257994,102233.4,7
107951,16196.15839698,15654.493146029,16620.9308927643,4367.84160302001,3943.06910723574,4909.50685397098,2018-12-31,18164.3844777298,17584.1850595963,18641.958740391,5191.21552227017,4713.641259609,5771.41494040368,111315.6,7
126499,22018.5217084685,21448.6496100616,22473.1694889153,5852.47829153148,5397.83051108468,6422.35038993841,2019-01-07,20865.9333977919,20197.8903184211,21420.7334427603,6768.46660220806,6213.66655723973,7436.5096815789,118036.6,7
130717,25006.2801217016,24266.7627462537,25649.5143319231,8806.71987829845,8163.48566807687,9546.23725374637,2019-01-14,23463.0792964704,22697.9972574839,24119.9443289701,8895.3207035296,8238.45567102988,9660.40274251608,126713.2,7
130171,26135.4344988679,25284.5893116032,26881.2777211528,10971.5655011321,10225.7222788472,11822.4106883969,2019-01-21,25348.5381756634,23241.7115243301,27346.7880947192,11541.4618243366,9543.21190528083,13648.2884756699,134602.8,7
138228,27959.0017563341,26835.4914734722,28974.8292100951,14477.9982436659,13462.1707899049,15601.5085265278,2019-01-28,25693.0818458607,22270.3746040459,29010.6006179156,13923.1181541393,10605.5993820844,17345.8253959541,138876.6,7
147399,25623.4527929448,18373.0644802597,32755.1497215095,17598.5472070552,10466.8502784905,24848.9355197403,2019-02-04,24899.8016778617,21428.3000785704,28267.8998966304,15819.1983221383,12451.1001033696,19290.6999214296,140806.2,7
147868,23741.240059455,16591.9650086406,30792.2321048977,17760.759940545,10709.7678951023,24910.0349913594,2019-02-11,22947.7205107788,19489.9939978293,26317.5574307491,17095.8794892212,13726.0425692509,20553.6060021707,140808.6,7
140365,21039.879281707,20056.3901188761,21936.0107254971,18287.120718293,17390.989274503,19270.6098811239,2019-02-18,19992.7688857222,16613.1623903348,23311.4288699478,17516.0311142778,14197.3711300522,20895.6376096652,137551.2,7
130183,16375.0286634531,15593.058907898,17129.5653917463,17354.9713365469,16600.4346082537,18136.941092102,2019-02-25,17051.3384067929,14981.8776489054,19091.4268741294,17271.0615932071,15230.9731258706,19340.5223510946,131597.4,7
121941,13184.2436310513,12451.3334359995,13944.1864060885,16578.7563689487,15818.8135939115,17311.6665640005,2019-03-04,13837.7321876618,13082.3012572686,14591.4534106224,16350.2678123382,15596.5465893776,17105.6987427314,123181.4,7
117630,10916.3003982984,10216.6407731129,11655.1397424174,16373.6996017016,15634.8602575825,17073.3592268871,2019-03-11,10697.4921446161,10033.9242931401,11375.6990850305,14822.9078553839,14144.7009149695,15486.4757068599,114129.4,7
105788,7673.20896379902,7094.08305045628,8292.3647873627,13156.791036201,12537.6352126373,13735.9169495437,2019-03-18,8034.77864465965,7463.14686188777,8644.42084202973,12954.2213553403,12344.5791579703,13525.8531381122,104026.2,7
95105,5338.6790664785,4814.50529823369,5857.23909753758,10650.3209335215,10131.7609024624,11174.4947017663,2019-03-25,5858.77620559369,5385.30744279406,6381.34828712934,10892.4237944063,10369.8517128706,11365.8925572059,94587.2,7
79667,3061.46116367101,2739.1717516365,3473.17417674242,8011.53883632899,7599.82582325758,8333.82824836349,2019-04-01,3974.10702575944,3585.53049350195,4418.51796990486,8412.09297424055,7967.68203009514,8800.66950649804,83595.4,7
74746,2304.23143572154,2062.13634053095,2628.82363158658,6269.76856427846,5945.17636841342,6511.86365946905,2019-04-08,2649.76570234241,2335.74317447345,3024.18818660554,6302.23429765758,5927.81181339445,6616.25682552655,73877,7
62671,1492.95449912715,1217.75602665235,1840.988156295,3972.04550087285,3624.011843705,4247.24397334764,2019-04-15,1733.2042994602,1493.5258989896,2035.86878844585,4547.99570053979,4245.33121155414,4787.6741010104,65605.4,7
57196,1051.50234671387,845.146455313763,1320.71587086614,2607.49765328613,2338.28412913386,2813.85354468624,2019-04-22,1230.90299875291,1035.74082555096,1475.26589914016,3198.29700124709,2953.93410085984,3393.45917444904,58529.8,7
53747,755.872052067446,603.41892081445,915.642106739119,1879.12794793255,1719.35789326088,2031.58107918555,2019-04-29,872.964263169668,708.384277884402,1071.59369175973,2246.43573683033,2047.80630824027,2411.0157221156,52555,7
44289,549.954660134553,450.246384443292,670.159730213963,1263.04533986545,1142.84026978604,1362.75361555671,2019-05-06,654.521183469645,532.601642938943,797.221594454092,1642.27881653035,1499.5784055459,1764.19835706106,47444.8,7
44872,514.537757805322,425.353602198155,610.462594684429,1510.46224219468,1414.53740531557,1599.64639780185,2019-05-13,514.578229944386,425.793731024953,613.36210684733,1270.82177005561,1172.03789315267,1359.60626897505,42945.8,7
37120,400.73910062703,338.842851925055,469.12766976682,951.260899372969,882.87233023318,1013.15714807494,2019-05-20,408.800469319708,343.68526671392,484.221093740341,1039.59953068029,964.178906259655,1104.71473328608,38182.2,7
34701,351.787579087579,311.106895743811,401.418432832328,750.212420912421,700.581567167671,790.893104256188,2019-05-27,348.431149024571,295.107253323746,409.880752884347,1084.36885097543,1022.91924711565,1137.69274667625,35409.4,7
29929,226.983248944056,192.876599259287,269.937041204173,723.016751055944,680.062958795827,757.123400740713,2019-06-03,303.095376282861,259.64852824704,353.990989140693,1069.50462371714,1018.6090108593,1112.95147175296,32563.8,7
30425,248.108058658869,207.356317492421,298.458025933993,1486.89194134113,1436.54197406601,1527.64368250758,2019-06-10,277.032915815403,242.035979107864,319.261523728262,1174.3670841846,1132.13847627173,1209.36402089214,31072.4,7
30644,287.858894096773,248.059976814624,331.013775966156,1436.14110590323,1392.98622403384,1475.94002318538,2019-06-17,265.632384887997,234.350135118873,303.234510038988,1286.367615112,1248.76548996101,1317.64986488113,29855,7
29663,270.426798289738,250.780106229176,295.480342704668,1475.57320171026,1450.51965729533,1495.21989377082,2019-06-24,271.615342332399,241.380076843462,307.795076886925,1354.7846576676,1318.60492311307,1385.01992315654,29388.2,7
28614,294.784924450549,272.677675798857,321.283364385958,1310.21507554945,1283.71663561404,1332.32232420114,2019-07-01,281.92087672681,257.420458059653,311.044795818488,1174.47912327319,1145.35520418151,1198.97954194035,28082.8,7
27595,256.898036166065,228.026307882232,292.739875443856,1065.10196383393,1029.26012455614,1093.97369211777,2019-07-08,265.334652606993,242.999440288278,292.502699965778,1047.06534739301,1019.89730003422,1069.40055971172,26928.2,7
23898,299.635730630925,287.558223573372,314.706620591809,585.364269369075,570.293379408192,597.441776426628,2019-07-15,260.00992680794,235.875384303019,289.639684509888,915.990073192059,886.360315490108,940.124615696981,26111.8,7
24871,204.927773497689,175.954887957749,238.303296702605,799.072226502311,765.696703297395,828.045112042251,2019-07-22,244.004602604401,218.077832738735,277.159177823654,824.995397395597,791.840822176342,850.922167261265,25556.2,7
25581,243.803169294474,215.159826302885,281.16526542522,820.196830705526,782.83473457478,848.840173697114,2019-07-29,248.172709426255,219.280733016102,285.420699266452,760.827290573743,723.579300733544,789.719266983899,25160.2,7
25836,214.758303432856,183.689917977437,258.880830954789,855.241696567144,811.11916904521,886.310082022564,2019-08-05,249.626731259271,213.698198602551,294.678036120798,778.573268740728,733.521963879198,814.50180139745,25247.8,7
25615,277.738570275335,234.040809269064,334.047482657846,744.261429724665,687.952517342154,787.959190730936,2019-08-12,283.710007517215,240.700484060885,336.436275991278,759.289992482784,706.563724008718,802.299515939116,25804.4,7
24336,306.905839796002,259.64555150562,360.993304863535,674.094160203998,620.006695136465,721.35444849438,2019-08-19,309.289854135043,261.816451346766,366.724852199224,767.110145864955,709.675147800772,814.583548653234,26683,7
27654,375.344154787408,310.966315249418,447.094496055006,702.655845212592,630.905503944995,767.033684750581,2019-08-26,322.170091220587,273.318138576118,381.22184928677,757.829908779412,698.778150713226,806.681861423883,26917.8,7
29974,371.702402383617,320.73966273229,432.608146464953,859.297597616383,798.391853535048,910.260337267709,2019-09-02,334.857650769156,283.776184978822,397.916047051073,764.342349230842,701.283952948923,815.423815021178,28011.8,7
27010,279.159488860576,241.198354124195,331.365816392517,808.840511139425,756.634183607482,846.801645875804,2019-09-09,336.306419295661,284.419268185691,402.856595703932,789.893580704337,723.343404296064,841.780731814309,29619.8,7
31085,341.176368018181,286.331041282586,417.518471479361,776.823631981819,700.481528520639,831.668958717413,2019-09-16,348.399515248479,292.703741068181,419.533644206315,826.60048475152,755.466355793681,882.29625893182,33965.4,7
32376,314.149682428527,262.860967539966,385.69604812783,801.850317571473,730.30395187217,853.139032460035,2019-09-23,365.106942433354,305.958207190999,440.791385068716,848.493057566645,772.80861493128,907.641792809002,40046.8,7
49382,435.809634551495,352.388679661866,530.479738566923,886.190365448505,791.520261433077,969.611320338134,2019-09-30,422.459284350197,355.900318005751,505.1954012299,889.740715649802,807.004598770096,956.29968199425,46255.2,7
60381,455.239538307992,387.011993346378,538.896850776956,968.760461692008,885.103149223043,1036.98800665362,2019-10-07,496.301303524608,427.376620825681,578.217376573177,955.298696475391,873.382623426819,1024.22337917432,52507.4,7
58052,565.92119844479,490.908908197955,653.385897198438,1015.07880155521,927.614102801562,1090.09109180204,2019-10-14,624.492759106302,547.980554611692,709.521549412144,1043.5072408937,958.478450587853,1120.01944538831,58799.2,7
62346,710.386463890238,643.712555382239,782.628348195747,1104.61353610976,1032.37165180425,1171.28744461776,2019-10-21,835.518931780823,753.659967092697,923.078958149844,1178.28106821918,1090.72104185015,1260.1400329073,63090,7
63835,955.106960336998,865.880636470019,1042.21691232266,1242.893039663,1155.78308767734,1332.11936352998,2019-10-28,1199.70530447077,1058.64901340989,1342.32478149661,1358.09469552922,1215.47521850339,1499.15098659011,66383.4,7
70836,1490.9404979241,1380.78574206689,1598.26678225542,1560.0595020759,1452.73321774458,1670.21425793311,2019-11-04,1701.36072267342,1492.71097568743,1906.75268158815,1666.63927732658,1461.24731841185,1875.28902431257,71929.6,7
76848,2276.17140175775,1911.95722493236,2635.12596751077,1867.82859824225,1508.87403248923,2232.04277506764,2019-11-11,2144.36744012556,1856.17877463419,2426.03796196809,2030.43255987444,1748.76203803191,2318.62122536581,75992.8,7
85783,3074.19828945799,2661.21871958564,3475.52539765615,2557.801710542,2156.47460234385,2970.78128041435,2019-11-18,2890.13842943624,2542.06482722029,3230.49008482939,2689.86157056376,2349.50991517061,3037.93517277971,83157.8,7
82662,2925.42005115096,2461.05155011606,3379.05475009545,2923.57994884904,2469.94524990455,3387.94844988394,2019-11-25,3600.05919893941,3193.56598735677,3994.25028960002,3612.34080106059,3218.14971039998,4018.83401264323,89953,7
99660,4683.96190689038,4295.31089940051,5064.47752662916,4540.03809310962,4159.52247337084,4928.68910059949,2019-12-02,4759.14937933973,4348.9205275304,5156.84811179565,4795.65062066027,4397.95188820435,5205.8794724696,98890.6,7
104812,5040.54434543996,4638.29154274926,5417.06780610857,6172.45565456003,5795.93219389143,6574.70845725074,2019-12-09,6230.19081051526,5830.16637927887,6614.88953707476,5907.20918948473,5522.51046292524,6307.23362072113,106521.8,7
121536,8071.62230375934,7688.72992580051,8448.11507848892,7784.37769624065,7407.88492151108,8167.27007419948,2019-12-16,7861.74728287808,7480.47424297148,8225.4559226824,6944.45271712192,6580.7440773176,7325.72575702852,116698.4,7
123939,10429.4054453357,10067.447978328,10765.7325240517,8115.59455466434,7779.26747594831,8477.55202167202,2019-12-23,9682.85828425911,9300.35649306254,10043.1768201762,7416.54171574088,7056.22317982376,7799.04350693746,124720.4,7
133545,11083.2024129651,10712.5908685791,11431.8866781337,8109.79758703495,7761.11332186635,8480.40913142086,2019-12-30,11902.9232844992,11528.4654086513,12255.3871397405,7315.07671550078,6962.61286025953,7689.53459134871,130922.4,7
139770,13789.5169137956,13394.7221498558,14153.0820140984,6900.48308620445,6536.91798590163,7295.27785014421,2020-01-06,14153.1476430665,13758.5641271751,14519.9818205763,7009.65235693344,6642.8181794237,7404.23587282486,136217.4,7
135822,16140.8693466405,15778.836120693,16478.1194039297,5665.1306533595,5327.88059607027,6027.16387930698,2020-01-13,16791.5924828486,16369.571170665,17185.7789806956,6483.00751715142,6088.82101930436,6905.02882933503,143199.4,7
148011,19322.744096596,18839.2235184198,19771.088482668,6257.255903404,5808.91151733197,6740.77648158023,2020-01-20,19300.6653546747,18847.961906098,19723.7906918864,5885.13464532533,5462.00930811355,6337.83809390205,148245,7
158849,23621.6296442458,23122.4831957771,24094.7183246484,5482.37035575423,5009.28167535161,5981.51680422289,2020-01-27,21117.662202623,20638.2880674185,21568.5727879851,5469.73779737703,5018.82721201492,5949.11193258148,150451.6,7
158773,23628.5667720956,23104.5445457441,24121.9452340877,5120.43322790447,4627.05476591231,5644.45545425596,2020-02-03,22020.2959312019,21502.1031952367,22510.9882439109,5218.25700997459,4727.56228118488,5736.47945364293,152811.6,7
150803,22874.5011535371,22346.3529564587,23376.9924945916,4823.49884646294,4321.00750540846,5351.64704354132,2020-02-10,22135.5641959927,21606.7483068443,22640.8981749287,4768.18874518385,4262.85235016711,5297.03434203536,152832,7
147622,20654.0379895351,20097.911759784,21190.1966835588,4407.72671634732,3871.55594192006,4964.00148461427,2020-02-17,21095.2031643913,20557.9272179956,21609.1935312142,4393.34977678516,3879.35699388155,4930.65543088406,152609.6,7
148113,19899.0854205497,19362.4490764577,20420.6381377569,4006.91457945027,3485.36186224312,4543.55092354235,2020-02-24,19243.2968919808,18708.2491469283,19755.9498350951,4004.74493808458,3492.28578683381,4539.73948714575,157576,7
157737,18419.8244862393,17878.3777515336,18936.1951060762,3608.17551376078,3091.80489392381,4149.62224846639,2020-03-02,16006.4064517729,15510.2260564315,16478.2266775328,3393.90810556517,2922.3426522303,3890.21012233817,163976.4,7
183605,14369.0354100428,13856.1541904076,14855.7267534921,3177.4090344016,2691.69873067362,3689.87573556441,2020-03-09,12231.2333152133,11809.1427587067,12633.2836243852,2631.12830094828,2229.3351802821,3053.3107711833,162932.2,7
182805,6690.04895249778,6356.23750397444,6988.37670677981,1769.31468386586,1471.29183239092,2104.00021950342,2020-03-16,8389.66500904462,8059.90123437543,8700.26509438335,1877.096607117,1566.75371028394,2206.95229551454,156561.4,7
142401,1778.17230673712,1592.49527116009,1965.48141782098,593.82769326288,406.518582179023,779.504728839906,2020-03-23,4777.41582757524,4548.86765709076,4989.4069430781,1172.74578858637,961.011861589196,1401.38587279921,141672.4,7
116259,691.243889706094,616.241454801422,755.545487747638,236.756110293905,172.454512252363,311.758545198578,2020-03-30,1930.70187186067,1802.2048879668,2047.02042404857,544.370855412057,428.113283785575,673.042656728769,119667.6,7
83292,358.578578892372,323.209865110281,381.904349549928,86.421421107628,63.0956504500721,121.79013488972,2020-04-06,608.682557551588,543.360399356624,669.13743966913,200.11744244841,139.662560330866,265.439600643377,97278.6,7
73581,135.465631469979,122.840344787784,143.794158344489,35.5343685300207,27.2058416555111,48.1596552122157,2020-04-13,267.948096204164,237.250336177903,293.120445920244,85.8519037958335,60.6795540797517,116.549663822098,80457.6,7
70860,79.952380952381,62.0150609235369,98.9617848826272,48.047619047619,29.0382151173728,65.9849390764632,2020-04-20,141.256214814669,123.756591846901,154.743302710896,40.9437851853283,27.4566972891002,58.4434081531004,69280,7
58296,74.5,61.9449552664891,85.3964490765472,22.5,11.6035509234528,35.0550447335109,2020-04-27,79.3328067285026,67.0155003445585,89.8745986417522,26.067193271495,15.5254013582439,38.3844996554425,64091.4,7
60371,57.7844827586207,48.7727331464095,63.6597717008949,12.2155172413793,6.34022829910512,21.2272668535906,2020-05-04,53.5730137678401,42.7290541636033,63.4632511494357,20.0269862321575,10.1367488505603,30.8709458363977,58039.4,7
57349,48.9615384615385,39.50440759857,57.5608292042097,12.0384615384615,3.43917079579035,21.49559240143,2020-05-11,40.3825375773639,31.44388481701,47.8074481590549,12.4174624226337,4.99255184094115,21.356115182991,52242.4,7
43321,6.66666666666667,1.40811388300842,11.7374208829066,5.33333333333333,0.262579117093425,10.5918861169916,2020-05-18,28.9692042440305,21.2714637328842,35.4390117818599,10.2307957559671,3.76098821813616,17.9285362671167,48685.4,7
41875,14,5.58921419057029,20.6827699307231,10,3.3172300692769,18.4107858094297,2020-05-25,20.3123076923064,13.2165220930175,26.4694150309128,9.88769230769121,3.7305849690833,16.9834779069835,45538,7
40511,17.4333333333333,11.0828498458605,23.5542671905722,11.5666666666667,5.44573280942784,17.9171501541395,2020-06-01,13.2199999999987,6.5906405733035,19.0822491900708,9.7799999999989,3.91775080992523,16.4093594266975,43176.2,7
44634,14.5,8.49802494707577,18.8117879461592,10.5,6.18821205384083,16.5019750529242,2020-06-08,13.2866666666654,6.37901779670181,19.4647650134895,10.5133333333322,4.33523498650654,17.4209822032992,43503.8,7
45540,13.5,6.375,20.625,11.5,4.375,18.625,2020-06-15,13.3199999999987,6.75779773518944,19.4606952039262,10.6799999999989,4.53930479606985,17.2422022648115,44605.2,7
44959,7,0.35,13.65,9,2.35,15.65,2020-06-22,11.233333333332,5.18122776601734,16.9098417658118,9.56666666666557,3.89015823418428,15.6187722339836,46365.8,7
47382,14.1666666666667,7.48311388300842,20.6624208829066,10.8333333333333,4.33757911709342,17.5168861169916,2020-06-29,10.733333333332,4.36162277660219,17.06748417658,9.46666666666557,3.13251582341611,15.8383772233988,48903.6,7
49314,7,3.2,10.8,6,2.2,9.8,2020-07-06,10.333333333332,4.72162277660219,15.90748417658,9.86666666666557,4.29251582341611,15.4783772233988,52643.2,7
57323,12,4.4,19.6,10,2.4,17.6,2020-07-13,10.533333333332,5.87162277660219,15.15748417658,9.66666666666557,5.04251582341611,14.3283772233988,58383.8,7
64238,11.5,8.175,14.825,13.5,10.175,16.825,2020-07-20,9.19999999999868,5.02000000000051,13.3799999999986,10.5999999999989,6.41999999999743,14.7800000000005,64432.8,7
73662,8,6.1,9.9,8,6.1,9.9,2020-07-27,10.4666666666654,6.46324555320387,14.3949683531613,12.1333333333322,8.2050316468348,16.1367544467971,69508.2,7
77627,7.5,3.225,11.775,15.5,11.225,19.775,2020-08-03,9.73333333333202,6.61576137662256,12.8133455765596,13.6666666666656,10.5866544234365,16.7842386233784,73880.4,7
74691,13.3333333333333,10.4162277660168,15.8748417658131,13.6666666666667,11.1251582341869,16.5837722339832,2020-08-10,9.03333333333202,5.82076137662256,12.2083455765596,14.9666666666656,11.7916544234365,18.1792386233784,74407.4,7
79184,8.33333333333333,5.16257911709342,11.6918861169916,17.6666666666667,14.3081138830084,20.8374208829066,2020-08-17,10.833333333332,7.05076137662256,14.5783455765596,26.1666666666656,22.4216544234365,29.9492386233784,73025.2,7
66873,8,4.2,11.8,20,16.2,23.8,2020-08-24,11.3666666666653,7.25696141032267,15.9282370073604,37.8333333333322,33.2717629926357,41.9430385896783,69793.8,7
66751,17,12.25,21.75,64,59.25,68.75,2020-08-31,10.9999999999987,5.66871585711931,16.8582686541978,52.7999999999989,46.9417313457983,58.1312841428817,68691.4,7
61470,10.1666666666667,4.25600016850057,18.524457154004,73.8333333333333,65.475542845996,79.7439998314994,2020-09-07,11.233333333332,5.11120003370062,17.8448914307994,64.3666666666656,57.7551085691966,70.4887999663003,66112.4,7
69179,11.5,2.475,20.525,88.5,79.475,97.525,2020-09-14,16.0366666666654,7.90901026204942,24.525390630091,75.1633333333322,66.674609369905,83.2909897379515,71397.8,7
66289,9.5,2.375,16.625,75.5,68.375,82.625,2020-09-21,20.9080952380939,10.8197851516128,31.1053773290545,83.6919047619037,73.4946226709416,93.7802148483882,75508,7
93300,32.0166666666667,18.189051141744,45.2024959964579,73.9833333333333,60.7975040035421,87.810948858256,2020-09-28,22.5414285714273,10.5065756438919,35.3601798236015,91.6585714285703,78.8398201763946,103.693424356109,79448,7
87302,41.3571428571429,26.8038744478169,54.6499334948172,106.642857142857,93.3500665051828,121.196125552183,2020-10-05,27.3664285714273,13.6806026897304,41.5855451253743,91.4335714285703,77.2144548746218,105.119397310271,87205,7
81170,18.3333333333333,2.68995262989618,39.798469626739,113.666666666667,92.201530373261,129.310047370104,2020-10-12,29.1997619047606,14.6985615688722,45.3234846039254,90.800238095237,74.6765153960706,105.301438431129,97653.4,7
107964,35.625,18.3451352291922,51.651826508864,87.375,71.348173491136,104.654864770808,2020-10-19,28.0964285714273,13.7663209835961,45.5295654469732,90.7035714285703,73.2704345530228,105.033679016405,102947.4,7
118531,18.6666666666667,7.46479439570933,35.3146973927558,72.3333333333333,55.6853026072441,83.5352056042907,2020-10-26,28.0361111111098,13.3554291966532,46.3238183503391,85.5638888888878,67.2761816496569,100.244570803348,116787.6,7
119770,26.5,13.5278482153633,46.2329002116969,73.5,53.7670997883031,86.4721517846367,2020-11-02,28.4794444444431,15.1269648701259,45.8231832884604,78.9205555555544,61.5768167115356,92.2730351298751,129396.6,7
156503,41.0555555555556,24.7494155131024,58.6211980116468,80.9444444444444,63.3788019883532,97.2505844868976,2020-11-09,27.5411111111098,14.7837200604966,43.7316671992887,75.6588888888878,59.4683328007073,88.4162799395044,134697.8,7
144215,20.55,11.5476309972597,37.2952943173455,80.45,63.7047056826545,89.4523690027403,2020-11-16,32.0944444444431,17.2794896210872,48.9930629944573,75.3055555555544,58.4069370055388,90.1205103789137,150486.2,7
