year_month,region,climate,epoch,antigen_drift,inter_air_traffic,intra_air_traffic,total_air_traffic,persistence
2017-10,Europe,most-other,pre,0.204677272,0.764405493,0.860598646,0.844687582,0.156263747
2017-10,Southern Asia,most-tropical,pre,0.177178338,0.926616977,0.808757978,0.860148346,0.351526981
2017-10,Northern America,most-other,pre,0.224786444,0.819865232,0.837204724,0.844380526,0.210375135
2017-10,Japan/Korea,most-other,pre,0.200260749,0.80022032,0.933885375,0.912427236,0.169015713
2017-10,Russia,most-other,pre,0.204315021,0.659873248,0.496026513,0.620440117,0.109314599
2017-10,Western Asia,most-other,pre,0.19546426,0.775431471,0.846534443,0.832732537,0.159442607
2017-10,China,most-other,pre,0.204763218,0.820422561,0.798839587,0.831163642,0.152206263
2017-10,Southern America,most-tropical,pre,0.267927058,0.83478782,0.839732553,0.840245858,0.091444108
2017-10,Africa,most-tropical,pre,0.22405175,0.718198649,0.874367931,0.807259338,0.542776662
2017-11,Oceania,most-tropical,pre,0.215840749,0.80187626,0.942365,0.941345995,0.311303877
2017-11,South-eastern Asia,most-tropical,pre,0.180702891,0.773523279,0.895020174,0.862995951,0.236961168
2017-11,Europe,most-other,pre,0.204677272,0.63878242,0.661673458,0.659808099,0.210803291
2017-11,Southern Asia,most-tropical,pre,0.177178338,0.945358582,0.802480104,0.860416727,0.362342287
2017-11,Northern America,most-other,pre,0.224786444,0.68345513,0.803794336,0.799531394,0.251261261
2017-11,Japan/Korea,most-other,pre,0.200260749,0.762394971,0.857393056,0.847869772,0.207794751
2017-11,Russia,most-other,pre,0.204315021,0.53364806,0.450799886,0.544091057,0.141802575
2017-11,Western Asia,most-other,pre,0.19546426,0.691984193,0.854635973,0.792637158,0.158867331
2017-11,China,most-other,pre,0.204763218,0.762982661,0.774631481,0.801115691,0.187151174
2017-11,Southern America,most-tropical,pre,0.267927058,0.806079336,0.821996442,0.821418541,0.096876971
2017-11,Africa,most-tropical,pre,0.22405175,0.686254149,0.85465597,0.780986297,0.3613141
2017-12,Oceania,most-tropical,pre,0.215840749,0.896593751,0.955516843,0.973595974,0.284329141
2017-12,South-eastern Asia,most-tropical,pre,0.180702891,0.845407577,0.952559155,0.924492268,0.25863766
2017-12,Europe,most-other,pre,0.204677272,0.646480862,0.652708565,0.654188574,0.253193967
2017-12,Southern Asia,most-tropical,pre,0.177178338,1,0.852344285,0.912782741,0.355996826
2017-12,Northern America,most-other,pre,0.224786444,0.727991076,0.798959456,0.799954297,0.279996978
2017-12,Japan/Korea,most-other,pre,0.200260749,0.792780856,0.89029111,0.880818374,0.230991108
2017-12,Russia,most-other,pre,0.204315021,0.543354817,0.445646945,0.542604383,0.173170672
2017-12,Western Asia,most-other,pre,0.19546426,0.729246411,0.894567445,0.832279764,0.168836147
2017-12,China,most-other,pre,0.204763218,0.793211939,0.78514947,0.814957621,0.209382935
2017-12,Southern America,most-tropical,pre,0.267927058,0.886923154,0.867952216,0.870831567,0.105103049
2017-12,Africa,most-tropical,pre,0.22405175,0.738091047,0.889884219,0.825248006,0.48794177
2018-01,Oceania,most-tropical,pre,0.208210966,0.965761223,0.93390133,0.972039286,0.260008496
2018-01,South-eastern Asia,most-tropical,pre,0.175175873,0.848866918,0.95804277,0.929432145,0.277374076
2018-01,Europe,most-other,pre,0.202319177,0.637245349,0.636096677,0.639004423,0.290462711
2018-01,Southern Asia,most-tropical,pre,0.190316678,0.987768135,0.879228319,0.929850719,0.342988849
2018-01,Northern America,most-other,pre,0.224372987,0.724734056,0.746329368,0.752066107,0.308871512
2018-01,Japan/Korea,most-other,pre,0.199642413,0.80596812,0.901447021,0.893050043,0.295505752
2018-01,Russia,most-other,pre,0.196424964,0.556642292,0.455851167,0.555281986,0.199208541
2018-01,Western Asia,most-other,pre,0.200418537,0.699124817,0.91246294,0.825279906,0.156191418
2018-01,China,most-other,pre,0.194459232,0.789569425,0.79965654,0.827285478,0.231153301
2018-01,Southern America,most-tropical,pre,0.209694703,0.915362161,0.889005984,0.892630608,0.114242264
2018-01,Africa,most-tropical,pre,0.185354679,0.731816006,0.852775826,0.80339372,0.495638819
2018-02,Oceania,most-tropical,pre,0.208210966,0.824975105,0.857209861,0.87814858,0.255297643
2018-02,South-eastern Asia,most-tropical,pre,0.175175873,0.80555298,0.851700271,0.84008917,0.188600869
2018-02,Europe,most-other,pre,0.202319177,0.580181388,0.608256259,0.605113858,0.304492981
2018-02,Southern Asia,most-tropical,pre,0.190316678,0.883761963,0.791209821,0.835392844,0.286211172
2018-02,Northern America,most-other,pre,0.224372987,0.632252467,0.731888035,0.729075342,0.348097805
2018-02,Japan/Korea,most-other,pre,0.199642413,0.753718759,0.808212787,0.812106588,0.329626398
2018-02,Russia,most-other,pre,0.196424964,0.488217237,0.428014906,0.511064234,0.221578215
2018-02,Western Asia,most-other,pre,0.200418537,0.631700324,0.816467709,0.741697391,0.183804889
2018-02,China,most-other,pre,0.194459232,0.823737717,0.766654946,0.803102658,0.249187747
2018-02,Southern America,most-tropical,pre,0.209694703,0.796600074,0.776267561,0.779171011,0.139395384
2018-02,Africa,most-tropical,pre,0.185354679,0.643318846,0.767859949,0.715386358,0.480516511
2018-03,Oceania,most-tropical,pre,0.208210966,0.832561571,0.961739129,0.96394828,0.188936899
2018-03,South-eastern Asia,most-tropical,pre,0.175175873,0.869456307,0.949802943,0.9290115,0.209639645
2018-03,Europe,most-other,pre,0.202319177,0.697556539,0.738115463,0.732984504,0.325658764
2018-03,Southern Asia,most-tropical,pre,0.190316678,0.977374846,0.877009635,0.925388498,0.202729956
2018-03,Northern America,most-other,pre,0.224372987,0.757197264,0.899378059,0.893798164,0.279810005
2018-03,Japan/Korea,most-other,pre,0.199642413,0.838234354,0.903968268,0.906567067,0.298645608
2018-03,Russia,most-other,pre,0.196424964,0.57727668,0.490642616,0.591120244,0.306165509
2018-03,Western Asia,most-other,pre,0.200418537,0.748083652,0.917120273,0.85350151,0.192912243
2018-03,China,most-other,pre,0.194459232,0.85238524,0.82015335,0.854842647,0.237317152
2018-03,Southern America,most-tropical,pre,0.209694703,0.871201406,0.844284304,0.847910615,0.181808788
2018-03,Africa,most-tropical,pre,0.185354679,0.744785537,0.859943678,0.813641115,0.83640674
2018-04,Oceania,most-tropical,pre,0.191219505,0.796219989,0.934568147,0.933781408,0.171879206
2018-04,South-eastern Asia,most-tropical,pre,0.184945029,0.828119957,0.934802486,0.906843792,0.22053954
2018-04,Europe,most-other,pre,0.199033276,0.743375291,0.83233065,0.817770178,0.297012135
2018-04,Southern Asia,most-tropical,pre,0.183982926,0.932006662,0.855557045,0.897005416,0.22023347
2018-04,Northern America,most-other,pre,0.248771864,0.784480461,0.859629215,0.860829597,0.319091277
2018-04,Japan/Korea,most-other,pre,0.197318811,0.804235084,0.878639619,0.877305835,0.205907016
2018-04,Russia,most-other,pre,0.219848439,0.634039413,0.490828452,0.608273859,0.235703584
2018-04,Western Asia,most-other,pre,0.180231875,0.788109999,0.908521778,0.870381308,0.214112279
2018-04,China,most-other,pre,0.223241403,0.832265742,0.808332928,0.841353428,0.283415997
2018-04,Southern America,most-tropical,pre,0.213140214,0.838748284,0.802510922,0.806996748,0.252400302
2018-04,Africa,most-tropical,pre,0.22996008,0.759863855,0.835462263,0.809073089,0.779080879
2018-05,Oceania,most-tropical,pre,0.191219505,0.773461642,0.915501229,0.913240021,0.189279189
2018-05,South-eastern Asia,most-tropical,pre,0.184945029,0.8074006,0.922237093,0.892050767,0.233509994
2018-05,Europe,most-other,pre,0.199033276,0.784859976,0.906370752,0.88551205,0.305897944
2018-05,Southern Asia,most-tropical,pre,0.183982926,0.937368533,0.886267002,0.921680109,0.263882607
2018-05,Northern America,most-other,pre,0.248771864,0.865628494,0.900745774,0.906695677,0.379115444
2018-05,Japan/Korea,most-other,pre,0.197318811,0.820389698,0.914249562,0.906825651,0.199178482
2018-05,Russia,most-other,pre,0.219848439,0.766921386,0.524517009,0.676779652,0.281424831
2018-05,Western Asia,most-other,pre,0.180231875,0.832495644,0.880317799,0.879780412,0.220746716
2018-05,China,most-other,pre,0.223241403,0.850503992,0.834254421,0.867073049,0.272286868
2018-05,Southern America,most-tropical,pre,0.213140214,0.883216316,0.845386395,0.850078383,0.326358119
2018-05,Africa,most-tropical,pre,0.22996008,0.75127865,0.846161984,0.810046994,0.706442812
2018-06,Oceania,most-tropical,pre,0.191219505,0.786436806,0.878567873,0.886506698,0.181609314
2018-06,South-eastern Asia,most-tropical,pre,0.184945029,0.807069469,0.968432131,0.925662293,0.267129665
2018-06,Europe,most-other,pre,0.199033276,0.841759317,0.928931516,0.915139238,0.278452324
2018-06,Southern Asia,most-tropical,pre,0.183982926,0.931260768,0.86128472,0.901139905,0.313008586
2018-06,Northern America,most-other,pre,0.248771864,0.926947522,0.925623039,0.935761014,0.353553251
2018-06,Japan/Korea,most-other,pre,0.197318811,0.816756033,0.875754713,0.879992049,0.2335794
2018-06,Russia,most-other,pre,0.219848439,0.95022647,0.5895675,0.787118965,0.266169722
2018-06,Western Asia,most-other,pre,0.180231875,0.820751529,0.909642587,0.88820653,0.23025663
2018-06,China,most-other,pre,0.223241403,0.857825868,0.803006855,0.840441242,0.290652128
2018-06,Southern America,most-tropical,pre,0.213140214,0.906217611,0.811928971,0.82208793,0.409805706
2018-06,Africa,most-tropical,pre,0.22996008,0.791498561,0.814559411,0.81478806,0.612108858
2018-07,Oceania,most-tropical,pre,0.175534283,0.887753367,0.973149962,0.985753912,0.178624919
2018-07,South-eastern Asia,most-tropical,pre,0.192803272,0.854963925,0.97141343,0.940842203,0.314908295
2018-07,Europe,most-other,pre,0.190120218,0.945340797,0.979089444,0.976354337,0.245594514
2018-07,Southern Asia,most-tropical,pre,0.22889142,0.956377238,0.896066443,0.934186021,0.350700266
2018-07,Northern America,most-other,pre,0.20682956,1,0.95985761,0.974540267,0.318803911
2018-07,Japan/Korea,most-other,pre,0.185400388,0.858389292,0.931591641,0.932265246,0.219632484
2018-07,Russia,most-other,pre,0.230312778,0.96910081,0.629803053,0.827071422,0.22829236
2018-07,Western Asia,most-other,pre,0.175389357,0.908479679,1,0.979714415,0.243365037
2018-07,China,most-other,pre,0.194239835,0.925370826,0.866919603,0.907224412,0.327667194
2018-07,Southern America,most-tropical,pre,0.182873428,0.969929497,0.935089879,0.939596563,0.469817254
2018-07,Africa,most-tropical,pre,0.255743028,0.872189846,0.864384174,0.881169742,0.528046605
2018-08,Oceania,most-tropical,pre,0.175534283,0.849985257,0.948230366,0.957071218,0.180687011
2018-08,South-eastern Asia,most-tropical,pre,0.192803272,0.854970136,0.950151488,0.92533231,0.358066644
2018-08,Europe,most-other,pre,0.190120218,0.962551898,0.982335547,0.982449322,0.203554234
2018-08,Southern Asia,most-tropical,pre,0.22889142,0.952662779,0.901225795,0.937095474,0.393305879
2018-08,Northern America,most-other,pre,0.20682956,0.980137477,0.91135489,0.928594126,0.340214789
2018-08,Japan/Korea,most-other,pre,0.185400388,0.893468262,0.964888515,0.967201151,0.193248971
2018-08,Russia,most-other,pre,0.230312778,0.91857131,0.639453996,0.820170068,0.190873615
2018-08,Western Asia,most-other,pre,0.175389357,0.948163589,0.998587212,1,0.266234895
2018-08,China,most-other,pre,0.194239835,0.937845005,0.880890099,0.921480657,0.323279689
2018-08,Southern America,most-tropical,pre,0.182873428,0.936237511,0.882403769,0.888700559,0.506660743
2018-08,Africa,most-tropical,pre,0.255743028,0.891202535,0.882140272,0.899832506,0.217913597
2018-09,Oceania,most-tropical,pre,0.175534283,0.833725248,0.92447423,0.934245641,0.184118738
2018-09,South-eastern Asia,most-tropical,pre,0.192803272,0.791240024,0.912995295,0.880920317,0.367749322
2018-09,Europe,most-other,pre,0.190120218,0.893512526,0.956950665,0.948094786,0.167669168
2018-09,Southern Asia,most-tropical,pre,0.22889142,0.93051664,0.888222812,0.921325183,0.400190848
2018-09,Northern America,most-other,pre,0.20682956,0.915034988,0.823458945,0.84220053,0.252012515
2018-09,Japan/Korea,most-other,pre,0.185400388,0.829770189,0.903170807,0.902931103,0.162686204
2018-09,Russia,most-other,pre,0.230312778,0.855843125,0.59773556,0.765823264,0.139751504
2018-09,Western Asia,most-other,pre,0.175389357,0.835395657,0.912805138,0.897531207,0.307650683
2018-09,China,most-other,pre,0.194239835,0.860005228,0.824878161,0.86017153,0.294964292
2018-09,Southern America,most-tropical,pre,0.182873428,0.896315232,0.843655478,0.849791825,0.397687518
2018-09,Africa,most-tropical,pre,0.255743028,0.78995268,0.857554534,0.835590584,0.212982234
2018-10,Oceania,most-tropical,pre,0.182487869,0.868556882,0.984347778,0.990366832,0.19559347
2018-10,South-eastern Asia,most-tropical,pre,0.181443413,0.82639966,0.952474352,0.919269128,0.3718801
2018-10,Europe,most-other,pre,0.231748911,0.837647801,0.918270781,0.905763329,0.15692925
2018-10,Southern Asia,most-tropical,pre,0.187659542,0.932249701,0.920356505,0.946105455,0.391814955
2018-10,Northern America,most-other,pre,0.246916332,0.859471391,0.89993016,0.905296761,0.214829248
2018-10,Japan/Korea,most-other,pre,0.197586723,0.868129304,0.927499302,0.933130588,0.17806385
2018-10,Russia,most-other,pre,0.179827219,0.719976217,0.555840451,0.689427565,0.134945144
2018-10,Western Asia,most-other,pre,0.19186573,0.828064419,0.887124312,0.880834149,0.353687837
2018-10,China,most-other,pre,0.219388754,0.899571083,0.85981499,0.897071818,0.287202485
2018-10,Southern America,most-tropical,pre,0.212956069,0.910662158,0.893022154,0.895801417,0.285295358
2018-10,Africa,most-tropical,pre,0.228931397,0.757184946,0.905049887,0.842651316,0.234527278
2018-11,Oceania,most-tropical,pre,0.182487869,0.819037621,0.956370853,0.956536516,0.212080353
2018-11,South-eastern Asia,most-tropical,pre,0.181443413,0.829712586,0.920043682,0.896509006,0.331146159
2018-11,Europe,most-other,pre,0.231748911,0.693889804,0.714674849,0.713459908,0.146911414
2018-11,Southern Asia,most-tropical,pre,0.187659542,0.930193471,0.890270726,0.922788334,0.388367682
2018-11,Northern America,most-other,pre,0.246916332,0.716542188,0.872800462,0.865419484,0.150501215
2018-11,Japan/Korea,most-other,pre,0.197586723,0.822354735,0.886098325,0.888899413,0.246591973
2018-11,Russia,most-other,pre,0.179827219,0.588328364,0.507217163,0.608559221,0.167982459
2018-11,Western Asia,most-other,pre,0.19186573,0.70887586,0.840762412,0.794646688,0.388891026
2018-11,China,most-other,pre,0.219388754,0.820502357,0.835910865,0.864066753,0.307201729
2018-11,Southern America,most-tropical,pre,0.212956069,0.891111637,0.874675511,0.877315603,0.348313314
2018-11,Africa,most-tropical,pre,0.228931397,0.715331967,0.880863146,0.809052384,0.277385252
2018-12,Oceania,most-tropical,pre,0.182487869,0.911365847,0.969317591,0.988074838,0.202323987
2018-12,South-eastern Asia,most-tropical,pre,0.181443413,0.914625916,0.96452429,0.952016439,0.338315697
2018-12,Europe,most-other,pre,0.231748911,0.700478379,0.706122236,0.707945363,0.16093927
2018-12,Southern Asia,most-tropical,pre,0.187659542,0.979892873,0.920444859,0.95893106,0.366242325
2018-12,Northern America,most-other,pre,0.246916332,0.752309478,0.835446445,0.835526527,0.167428584
2018-12,Japan/Korea,most-other,pre,0.197586723,0.856454756,0.913645351,0.919667116,0.320965638
