year_month,region,climate,epoch,antigen_drift,npi_level,persistence,N_migration,inter_air_traffic,intra_air_traffic,total_air_traffic
2018-02,Oceania,most-tropical,pre,0.453340708,0,0.255297643,22.54125293,0.824975105,0.857209861,0.87814858
2018-02,South-eastern Asia,most-tropical,pre,0.404683682,0,0.188600869,21.55804384,0.80555298,0.851700271,0.84008917
2018-02,Europe,most-other,pre,0.45680325,0,0.304492981,25.019311,0.580181388,0.608256259,0.605113858
2018-02,Southern Asia,most-tropical,pre,0.430427088,0,0.286211172,21.1962005,0.883761963,0.791209821,0.835392844
2018-02,Northern America,most-other,pre,0.417087074,0,0.348097805,22.70868464,0.632252467,0.731888035,0.729075342
2018-02,Japan/Korea,most-other,pre,0.41901197,0,0.329626398,21.42875809,0.753718759,0.808212787,0.812106588
2018-02,Russia,most-other,pre,0.490665473,0,0.221578215,22.29954322,0.488217237,0.428014906,0.511064234
2018-02,Western Asia,most-other,pre,0.399203657,0,0.183804889,21.81907364,0.631700324,0.816467709,0.741697391
2018-02,China,most-other,pre,0.419303634,0,0.249187747,21.66995879,0.823737717,0.766654946,0.803102658
2018-02,Southern America,most-tropical,pre,0.457442247,0,0.139395384,20.77936311,0.796600074,0.776267561,0.779171011
2018-02,Africa,most-tropical,pre,0.410526669,0,0.480516511,20.4792686,0.643318846,0.767859949,0.715386358
2018-03,Oceania,most-tropical,pre,0.453340708,0,0.188936899,22.43096322,0.832561571,0.961739129,0.96394828
2018-03,South-eastern Asia,most-tropical,pre,0.404683682,0,0.209639645,21.50788373,0.869456307,0.949802943,0.9290115
2018-03,Europe,most-other,pre,0.45680325,0,0.325658764,23.8319376,0.697556539,0.738115463,0.732984504
2018-03,Southern Asia,most-tropical,pre,0.430427088,0,0.202729956,21.5810768,0.977374846,0.877009635,0.925388498
2018-03,Northern America,most-other,pre,0.417087074,0,0.279810005,22.00298794,0.757197264,0.899378059,0.893798164
2018-03,Japan/Korea,most-other,pre,0.41901197,0,0.298645608,21.47374818,0.838234354,0.903968268,0.906567067
2018-03,Russia,most-other,pre,0.490665473,0,0.306165509,21.65931689,0.57727668,0.490642616,0.591120244
2018-03,Western Asia,most-other,pre,0.399203657,0,0.192912243,21.99422483,0.748083652,0.917120273,0.85350151
2018-03,China,most-other,pre,0.419303634,0,0.237317152,21.47225166,0.85238524,0.82015335,0.854842647
2018-03,Southern America,most-tropical,pre,0.457442247,0,0.181808788,20.56437803,0.871201406,0.844284304,0.847910615
2018-03,Africa,most-tropical,pre,0.410526669,0,0.83640674,20.40484788,0.744785537,0.859943678,0.813641115
2018-04,Oceania,most-tropical,pre,0.437588899,0,0.171879206,22.37675934,0.796219989,0.934568147,0.933781408
2018-04,South-eastern Asia,most-tropical,pre,0.48109868,0,0.22053954,21.34525654,0.828119957,0.934802486,0.906843792
2018-04,Europe,most-other,pre,0.385138627,0,0.297012135,22.30505101,0.743375291,0.83233065,0.817770178
2018-04,Southern Asia,most-tropical,pre,0.509222843,0,0.22023347,21.57203738,0.932006662,0.855557045,0.897005416
2018-04,Northern America,most-other,pre,0.457206735,0,0.319091277,21.33359219,0.784480461,0.859629215,0.860829597
2018-04,Japan/Korea,most-other,pre,0.424797683,0,0.205907016,21.3629185,0.804235084,0.878639619,0.877305835
2018-04,Russia,most-other,pre,0.441673155,0,0.235703584,21.05203289,0.634039413,0.490828452,0.608273859
2018-04,Western Asia,most-other,pre,0.508875989,0,0.214112279,21.88114469,0.788109999,0.908521778,0.870381308
2018-04,China,most-other,pre,0.502504981,0,0.283415997,21.12865113,0.832265742,0.808332928,0.841353428
2018-04,Southern America,most-tropical,pre,0.498010795,0,0.252400302,20.3149675,0.838748284,0.802510922,0.806996748
2018-04,Africa,most-tropical,pre,0.535853689,0,0.779080879,20.54713186,0.759863855,0.835462263,0.809073089
2018-05,Oceania,most-tropical,pre,0.437588899,0,0.189279189,22.10998903,0.773461642,0.915501229,0.913240021
2018-05,South-eastern Asia,most-tropical,pre,0.48109868,0,0.233509994,21.47447585,0.8074006,0.922237093,0.892050767
2018-05,Europe,most-other,pre,0.385138627,0,0.305897944,21.9744441,0.784859976,0.906370752,0.88551205
2018-05,Southern Asia,most-tropical,pre,0.509222843,0,0.263882607,22.01137481,0.937368533,0.886267002,0.921680109
2018-05,Northern America,most-other,pre,0.457206735,0,0.379115444,21.14050128,0.865628494,0.900745774,0.906695677
2018-05,Japan/Korea,most-other,pre,0.424797683,0,0.199178482,21.33860278,0.820389698,0.914249562,0.906825651
2018-05,Russia,most-other,pre,0.441673155,0,0.281424831,21.21256099,0.766921386,0.524517009,0.676779652
2018-05,Western Asia,most-other,pre,0.508875989,0,0.220746716,21.78696941,0.832495644,0.880317799,0.879780412
2018-05,China,most-other,pre,0.502504981,0,0.272286868,21.51438706,0.850503992,0.834254421,0.867073049
2018-05,Southern America,most-tropical,pre,0.498010795,0,0.326358119,20.25190946,0.883216316,0.845386395,0.850078383
2018-05,Africa,most-tropical,pre,0.535853689,0,0.706442812,20.80320994,0.75127865,0.846161984,0.810046994
2018-06,Oceania,most-tropical,pre,0.437588899,0,0.181609314,22.41794649,0.786436806,0.878567873,0.886506698
2018-06,South-eastern Asia,most-tropical,pre,0.48109868,0,0.267129665,21.74403792,0.807069469,0.968432131,0.925662293
2018-06,Europe,most-other,pre,0.385138627,0,0.278452324,21.72359185,0.841759317,0.928931516,0.915139238
2018-06,Southern Asia,most-tropical,pre,0.509222843,0,0.313008586,21.99249106,0.931260768,0.86128472,0.901139905
2018-06,Northern America,most-other,pre,0.457206735,0,0.353553251,21.09078272,0.926947522,0.925623039,0.935761014
2018-06,Japan/Korea,most-other,pre,0.424797683,0,0.2335794,20.9995476,0.816756033,0.875754713,0.879992049
2018-06,Russia,most-other,pre,0.441673155,0,0.266169722,20.66427416,0.95022647,0.5895675,0.787118965
2018-06,Western Asia,most-other,pre,0.508875989,0,0.23025663,21.86543694,0.820751529,0.909642587,0.88820653
2018-06,China,most-other,pre,0.502504981,0,0.290652128,20.85459673,0.857825868,0.803006855,0.840441242
2018-06,Southern America,most-tropical,pre,0.498010795,0,0.409805706,20.42414938,0.906217611,0.811928971,0.82208793
2018-06,Africa,most-tropical,pre,0.535853689,0,0.612108858,20.84815844,0.791498561,0.814559411,0.81478806
2018-07,Oceania,most-tropical,pre,0.484816157,0,0.178624919,23.53057274,0.887753367,0.973149962,0.985753912
2018-07,South-eastern Asia,most-tropical,pre,0.494981626,0,0.314908295,22.56833944,0.854963925,0.97141343,0.940842203
2018-07,Europe,most-other,pre,0.518543499,0,0.245594514,21.87357638,0.945340797,0.979089444,0.976354337
2018-07,Southern Asia,most-tropical,pre,0.513049576,0,0.350700266,22.89119891,0.956377238,0.896066443,0.934186021
2018-07,Northern America,most-other,pre,0.508521939,0,0.318803911,21.28986432,1,0.95985761,0.974540267
2018-07,Japan/Korea,most-other,pre,0.478151312,0,0.219632484,21.51169284,0.858389292,0.931591641,0.932265246
2018-07,Russia,most-other,pre,0.55943488,0,0.22829236,20.58955106,0.96910081,0.629803053,0.827071422
2018-07,Western Asia,most-other,pre,0.47983274,0,0.243365037,22.1726394,0.908479679,1,0.979714415
2018-07,China,most-other,pre,0.505740153,0,0.327667194,20.87757235,0.925370826,0.866919603,0.907224412
2018-07,Southern America,most-tropical,pre,0.44923863,0,0.469817254,20.1055514,0.969929497,0.935089879,0.939596563
2018-07,Africa,most-tropical,pre,0.514985611,0,0.528046605,21.05852856,0.872189846,0.864384174,0.881169742
2018-08,Oceania,most-tropical,pre,0.484816157,0,0.180687011,26.73062499,0.849985257,0.948230366,0.957071218
2018-08,South-eastern Asia,most-tropical,pre,0.494981626,0,0.358066644,24.51428002,0.854970136,0.950151488,0.92533231
2018-08,Europe,most-other,pre,0.518543499,0,0.203554234,22.89435528,0.962551898,0.982335547,0.982449322
2018-08,Southern Asia,most-tropical,pre,0.513049576,0,0.393305879,23.78314998,0.952662779,0.901225795,0.937095474
2018-08,Northern America,most-other,pre,0.508521939,0,0.340214789,21.70625352,0.980137477,0.91135489,0.928594126
2018-08,Japan/Korea,most-other,pre,0.478151312,0,0.193248971,22.64575068,0.893468262,0.964888515,0.967201151
2018-08,Russia,most-other,pre,0.55943488,0,0.190873615,21.01367323,0.91857131,0.639453996,0.820170068
2018-08,Western Asia,most-other,pre,0.47983274,0,0.266234895,23.41931948,0.948163589,0.998587212,1
2018-08,China,most-other,pre,0.505740153,0,0.323279689,21.78170552,0.937845005,0.880890099,0.921480657
2018-08,Southern America,most-tropical,pre,0.44923863,0,0.506660743,20.29890146,0.936237511,0.882403769,0.888700559
2018-08,Africa,most-tropical,pre,0.514985611,0,0.217913597,21.88271875,0.891202535,0.882140272,0.899832506
2018-09,Oceania,most-tropical,pre,0.484816157,0,0.184118738,28.96897554,0.833725248,0.92447423,0.934245641
2018-09,South-eastern Asia,most-tropical,pre,0.494981626,0,0.367749322,26.3853857,0.791240024,0.912995295,0.880920317
2018-09,Europe,most-other,pre,0.518543499,0,0.167669168,24.96166407,0.893512526,0.956950665,0.948094786
2018-09,Southern Asia,most-tropical,pre,0.513049576,0,0.400190848,24.81044412,0.93051664,0.888222812,0.921325183
2018-09,Northern America,most-other,pre,0.508521939,0,0.252012515,22.87316456,0.915034988,0.823458945,0.84220053
2018-09,Japan/Korea,most-other,pre,0.478151312,0,0.162686204,24.98940045,0.829770189,0.903170807,0.902931103
2018-09,Russia,most-other,pre,0.55943488,0,0.139751504,21.68197407,0.855843125,0.59773556,0.765823264
2018-09,Western Asia,most-other,pre,0.47983274,0,0.307650683,25.5404096,0.835395657,0.912805138,0.897531207
2018-09,China,most-other,pre,0.505740153,0,0.294964292,23.55552702,0.860005228,0.824878161,0.86017153
2018-09,Southern America,most-tropical,pre,0.44923863,0,0.397687518,20.36873937,0.896315232,0.843655478,0.849791825
2018-09,Africa,most-tropical,pre,0.514985611,0,0.212982234,22.96576583,0.78995268,0.857554534,0.835590584
2018-10,Oceania,most-tropical,pre,0.430818465,0,0.19559347,28.15864736,0.868556882,0.984347778,0.990366832
2018-10,South-eastern Asia,most-tropical,pre,0.400328587,0,0.3718801,25.36562363,0.82639966,0.952474352,0.919269128
2018-10,Europe,most-other,pre,0.493995456,0,0.15692925,26.78074248,0.837647801,0.918270781,0.905763329
2018-10,Southern Asia,most-tropical,pre,0.441039956,0,0.391814955,24.70513754,0.932249701,0.920356505,0.946105455
2018-10,Northern America,most-other,pre,0.518445641,0,0.214829248,23.89823229,0.859471391,0.89993016,0.905296761
2018-10,Japan/Korea,most-other,pre,0.465405289,0,0.17806385,24.60556613,0.868129304,0.927499302,0.933130588
2018-10,Russia,most-other,pre,0.516484763,0,0.134945144,22.88183002,0.719976217,0.555840451,0.689427565
2018-10,Western Asia,most-other,pre,0.466042159,0,0.353687837,26.17599545,0.828064419,0.887124312,0.880834149
2018-10,China,most-other,pre,0.506295316,0,0.287202485,25.00707563,0.899571083,0.85981499,0.897071818
2018-10,Southern America,most-tropical,pre,0.488919929,0,0.285295358,21.35157292,0.910662158,0.893022154,0.895801417
2018-10,Africa,most-tropical,pre,0.464468992,0,0.234527278,23.34576755,0.757184946,0.905049887,0.842651316
2018-11,Oceania,most-tropical,pre,0.430818465,0,0.212080353,26.35917134,0.819037621,0.956370853,0.956536516
2018-11,South-eastern Asia,most-tropical,pre,0.400328587,0,0.331146159,24.48851196,0.829712586,0.920043682,0.896509006
2018-11,Europe,most-other,pre,0.493995456,0,0.146911414,27.96546118,0.693889804,0.714674849,0.713459908
