,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"b[Oceania, 2020, pre]",-0.333,0.49,-1.174,0.446,0.005,0.004,10866.0,6792.0,1.0
"b[Oceania, 2020, pan]",-0.115,0.095,-0.265,0.046,0.001,0.001,14164.0,7198.0,1.0
"b[Oceania, 2020, pos]",-0.053,0.743,-1.31,1.118,0.006,0.01,14637.0,6118.0,1.0
"b[Oceania, 2021, pre]",-0.049,0.768,-1.304,1.225,0.006,0.01,15591.0,5867.0,1.0
"b[Oceania, 2021, pan]",-0.225,0.243,-0.607,0.195,0.002,0.002,12478.0,6089.0,1.0
"b[Oceania, 2021, pos]",-0.666,0.401,-1.322,-0.003,0.004,0.003,10153.0,5987.0,1.0
"b[Oceania, 2022, pre]",-0.055,0.767,-1.349,1.174,0.006,0.011,16388.0,5210.0,1.0
"b[Oceania, 2022, pan]",-0.059,0.766,-1.348,1.138,0.006,0.01,16030.0,5919.0,1.0
"b[Oceania, 2022, pos]",-0.067,0.237,-0.459,0.313,0.002,0.002,13228.0,6593.0,1.0
"b[Oceania, 2023, pre]",-0.054,0.769,-1.291,1.214,0.006,0.011,16026.0,5607.0,1.0
"b[Oceania, 2023, pan]",-0.054,0.768,-1.336,1.176,0.006,0.01,18209.0,5334.0,1.0
"b[Oceania, 2023, pos]",0.464,0.473,-0.333,1.213,0.004,0.004,16113.0,6002.0,1.0
"b[China, 2017, pre]",0.247,0.334,-0.273,0.82,0.003,0.003,11059.0,6962.0,1.0
"b[China, 2017, pan]",-0.057,0.74,-1.235,1.145,0.006,0.009,15295.0,5776.0,1.0
"b[China, 2017, pos]",-0.051,0.746,-1.225,1.197,0.006,0.01,17639.0,5200.0,1.0
"b[China, 2018, pre]",-0.036,0.329,-0.564,0.515,0.003,0.003,10605.0,6605.0,1.0
"b[China, 2018, pan]",-0.051,0.747,-1.261,1.195,0.006,0.01,16434.0,5446.0,1.0
"b[China, 2018, pos]",-0.045,0.752,-1.251,1.221,0.006,0.01,16323.0,5849.0,1.0
"b[China, 2019, pre]",0.57,0.286,0.096,1.031,0.002,0.002,16963.0,5911.0,1.0
"b[China, 2019, pan]",-0.055,0.75,-1.247,1.166,0.006,0.01,15349.0,5394.0,1.0
"b[China, 2019, pos]",-0.052,0.749,-1.323,1.138,0.006,0.01,16839.0,5015.0,1.0
"b[China, 2020, pre]",0.166,0.742,-1.04,1.409,0.006,0.009,16890.0,5708.0,1.0
"b[China, 2020, pan]",1.983,0.223,1.615,2.349,0.002,0.001,11239.0,6028.0,1.0
"b[China, 2020, pos]",-0.05,0.758,-1.313,1.17,0.006,0.01,15841.0,5872.0,1.0
"b[China, 2021, pre]",-0.046,0.765,-1.274,1.249,0.006,0.01,17628.0,5825.0,1.0
"b[China, 2021, pan]",-0.113,0.161,-0.368,0.156,0.001,0.002,12372.0,6152.0,1.0
"b[China, 2021, pos]",-1.16,0.444,-1.887,-0.434,0.004,0.003,9853.0,6634.0,1.0
"b[China, 2022, pre]",-0.055,0.751,-1.335,1.139,0.006,0.01,16496.0,5753.0,1.0
"b[China, 2022, pan]",-0.053,0.745,-1.312,1.111,0.006,0.01,15220.0,5451.0,1.0
"b[China, 2022, pos]",-0.399,0.087,-0.539,-0.255,0.001,0.001,14524.0,6206.0,1.0
"b[China, 2023, pre]",-0.057,0.758,-1.347,1.148,0.006,0.01,14597.0,5626.0,1.0
"b[China, 2023, pan]",-0.049,0.771,-1.347,1.16,0.006,0.01,16968.0,5603.0,1.0
"b[China, 2023, pos]",0.076,0.694,-1.038,1.236,0.005,0.009,16652.0,5641.0,1.0
"b[Western Asia, 2017, pre]",0.426,0.213,0.092,0.795,0.002,0.001,12369.0,6831.0,1.0
"b[Western Asia, 2017, pan]",-0.051,0.738,-1.287,1.119,0.006,0.01,15668.0,5596.0,1.0
"b[Western Asia, 2017, pos]",-0.047,0.78,-1.378,1.184,0.006,0.011,16177.0,5051.0,1.0
"b[Western Asia, 2018, pre]",-0.21,0.238,-0.591,0.191,0.002,0.002,10053.0,6543.0,1.0
"b[Western Asia, 2018, pan]",-0.057,0.747,-1.271,1.158,0.006,0.01,16475.0,6044.0,1.0
"b[Western Asia, 2018, pos]",-0.054,0.754,-1.28,1.15,0.006,0.01,16256.0,5690.0,1.0
"b[Western Asia, 2019, pre]",-0.449,0.238,-0.855,-0.068,0.002,0.002,12192.0,6538.0,1.0
"b[Western Asia, 2019, pan]",-0.052,0.761,-1.373,1.13,0.006,0.01,15391.0,5552.0,1.0
"b[Western Asia, 2019, pos]",-0.065,0.765,-1.324,1.196,0.006,0.01,17714.0,5950.0,1.0
"b[Western Asia, 2020, pre]",-0.282,0.336,-0.814,0.299,0.003,0.003,10572.0,6237.0,1.0
"b[Western Asia, 2020, pan]",-0.166,0.119,-0.363,0.029,0.001,0.001,15103.0,6460.0,1.0
"b[Western Asia, 2020, pos]",-0.056,0.753,-1.271,1.178,0.006,0.009,15698.0,6111.0,1.0
"b[Western Asia, 2021, pre]",-0.053,0.755,-1.318,1.131,0.006,0.011,16525.0,5127.0,1.0
"b[Western Asia, 2021, pan]",0.319,0.49,-0.531,1.07,0.004,0.005,12626.0,6101.0,1.0
"b[Western Asia, 2021, pos]",-0.194,0.494,-1.007,0.607,0.004,0.006,16487.0,5676.0,1.0
"b[Western Asia, 2022, pre]",-0.055,0.756,-1.317,1.164,0.006,0.01,16572.0,5736.0,1.0
"b[Western Asia, 2022, pan]",-0.057,0.755,-1.342,1.143,0.006,0.01,17007.0,5479.0,1.0
"b[Western Asia, 2022, pos]",-0.161,0.701,-1.312,1.005,0.006,0.008,13502.0,6049.0,1.0
"b[Western Asia, 2023, pre]",-0.055,0.761,-1.346,1.153,0.006,0.01,16145.0,6046.0,1.0
"b[Western Asia, 2023, pan]",-0.055,0.762,-1.313,1.19,0.006,0.009,17944.0,6131.0,1.0
"b[Western Asia, 2023, pos]",0.03,0.508,-0.852,0.818,0.005,0.006,10138.0,6208.0,1.0
"b[Russia, 2017, pre]",0.767,0.144,0.534,1.004,0.001,0.001,14687.0,6499.0,1.0
"b[Russia, 2017, pan]",-0.055,0.753,-1.351,1.106,0.006,0.01,14450.0,5229.0,1.0
"b[Russia, 2017, pos]",-0.055,0.748,-1.221,1.198,0.006,0.011,15958.0,5497.0,1.0
"b[Russia, 2018, pre]",0.61,0.215,0.268,0.979,0.002,0.001,15931.0,6134.0,1.0
"b[Russia, 2018, pan]",-0.043,0.753,-1.243,1.185,0.006,0.01,17171.0,5535.0,1.0
"b[Russia, 2018, pos]",-0.046,0.746,-1.26,1.184,0.006,0.009,15785.0,6028.0,1.0
"b[Russia, 2019, pre]",-0.046,0.144,-0.299,0.175,0.001,0.001,11704.0,6230.0,1.0
"b[Russia, 2019, pan]",-0.054,0.737,-1.282,1.127,0.006,0.01,15927.0,5744.0,1.0
"b[Russia, 2019, pos]",-0.055,0.752,-1.305,1.161,0.006,0.01,15762.0,5402.0,1.0
"b[Russia, 2020, pre]",-0.796,0.339,-1.342,-0.23,0.003,0.002,10663.0,6339.0,1.0
"b[Russia, 2020, pan]",-0.624,0.211,-0.973,-0.289,0.002,0.001,13189.0,6102.0,1.0
"b[Russia, 2020, pos]",-0.053,0.74,-1.252,1.166,0.006,0.009,14660.0,5497.0,1.0
"b[Russia, 2021, pre]",-0.046,0.743,-1.239,1.189,0.006,0.01,16573.0,5424.0,1.0
"b[Russia, 2021, pan]",0.277,0.185,-0.028,0.581,0.002,0.001,14261.0,6624.0,1.0
"b[Russia, 2021, pos]",-0.263,0.176,-0.557,0.021,0.002,0.001,10731.0,6405.0,1.0
"b[Russia, 2022, pre]",-0.05,0.758,-1.316,1.179,0.006,0.011,14833.0,5165.0,1.0
"b[Russia, 2022, pan]",-0.06,0.739,-1.298,1.125,0.006,0.01,14728.0,5296.0,1.0
"b[Russia, 2022, pos]",-0.107,0.308,-0.618,0.392,0.003,0.003,13882.0,6237.0,1.0
"b[Russia, 2023, pre]",-0.051,0.761,-1.301,1.164,0.006,0.011,15507.0,5230.0,1.0
"b[Russia, 2023, pan]",-0.052,0.76,-1.321,1.158,0.006,0.01,16162.0,5103.0,1.0
"b[Russia, 2023, pos]",0.057,0.3,-0.445,0.535,0.003,0.003,13163.0,6318.0,1.0
"b[Japan/Korea, 2017, pre]",0.152,0.266,-0.286,0.587,0.002,0.002,11804.0,6455.0,1.0
"b[Japan/Korea, 2017, pan]",-0.048,0.768,-1.338,1.187,0.006,0.01,16278.0,5977.0,1.0
"b[Japan/Korea, 2017, pos]",-0.057,0.748,-1.274,1.168,0.006,0.01,15444.0,5452.0,1.0
"b[Japan/Korea, 2018, pre]",-0.145,0.283,-0.619,0.307,0.003,0.003,9855.0,5938.0,1.0
"b[Japan/Korea, 2018, pan]",-0.059,0.749,-1.238,1.198,0.006,0.01,15693.0,5436.0,1.0
"b[Japan/Korea, 2018, pos]",-0.063,0.748,-1.259,1.19,0.006,0.01,15241.0,5235.0,1.0
"b[Japan/Korea, 2019, pre]",-0.406,0.244,-0.794,0.011,0.002,0.002,13971.0,6534.0,1.0
"b[Japan/Korea, 2019, pan]",-0.047,0.751,-1.282,1.168,0.006,0.009,15907.0,5774.0,1.0
"b[Japan/Korea, 2019, pos]",-0.056,0.745,-1.309,1.121,0.006,0.01,17157.0,5251.0,1.0
"b[Japan/Korea, 2020, pre]",-0.691,0.357,-1.286,-0.111,0.004,0.003,9677.0,6601.0,1.0
"b[Japan/Korea, 2020, pan]",-0.464,0.202,-0.792,-0.132,0.002,0.001,13800.0,6232.0,1.0
"b[Japan/Korea, 2020, pos]",-0.057,0.753,-1.352,1.124,0.006,0.01,16743.0,5900.0,1.0
"b[Japan/Korea, 2021, pre]",-0.06,0.753,-1.31,1.164,0.006,0.01,14572.0,5233.0,1.0
"b[Japan/Korea, 2021, pan]",-0.44,0.226,-0.808,-0.065,0.002,0.002,11033.0,6621.0,1.0
"b[Japan/Korea, 2021, pos]",0.149,0.357,-0.4,0.764,0.003,0.004,14477.0,6436.0,1.0
"b[Japan/Korea, 2022, pre]",-0.053,0.732,-1.199,1.203,0.006,0.01,14273.0,5568.0,1.0
"b[Japan/Korea, 2022, pan]",-0.059,0.75,-1.218,1.189,0.006,0.01,15688.0,5583.0,1.0
"b[Japan/Korea, 2022, pos]",0.38,0.41,-0.277,1.06,0.003,0.004,14082.0,6137.0,1.0
"b[Japan/Korea, 2023, pre]",-0.056,0.752,-1.287,1.164,0.006,0.01,15565.0,5314.0,1.0
"b[Japan/Korea, 2023, pan]",-0.057,0.753,-1.368,1.127,0.006,0.01,15302.0,5374.0,1.0
"b[Japan/Korea, 2023, pos]",0.867,0.417,0.186,1.57,0.004,0.003,11301.0,6646.0,1.0
"b[Northern America, 2017, pre]",0.614,0.255,0.184,1.022,0.002,0.002,14946.0,5503.0,1.0
"b[Northern America, 2017, pan]",-0.045,0.756,-1.278,1.186,0.006,0.01,16992.0,5331.0,1.0
"b[Northern America, 2017, pos]",-0.059,0.752,-1.267,1.204,0.006,0.009,15846.0,5626.0,1.0
"b[Northern America, 2018, pre]",-0.136,0.384,-0.754,0.505,0.003,0.004,15367.0,6022.0,1.0
"b[Northern America, 2018, pan]",-0.071,0.76,-1.338,1.157,0.006,0.009,15052.0,6002.0,1.0
"b[Northern America, 2018, pos]",-0.056,0.767,-1.244,1.277,0.006,0.01,16461.0,5343.0,1.0
"b[Northern America, 2019, pre]",-0.304,0.264,-0.748,0.116,0.002,0.002,18172.0,5568.0,1.0
"b[Northern America, 2019, pan]",-0.055,0.745,-1.216,1.225,0.006,0.009,17064.0,6068.0,1.0
"b[Northern America, 2019, pos]",-0.048,0.739,-1.241,1.191,0.006,0.009,15397.0,5826.0,1.0
"b[Northern America, 2020, pre]",-0.542,0.223,-0.901,-0.173,0.002,0.002,10114.0,6667.0,1.0
"b[Northern America, 2020, pan]",-0.145,0.108,-0.322,0.036,0.001,0.001,14547.0,6967.0,1.0
"b[Northern America, 2020, pos]",-0.057,0.749,-1.295,1.189,0.006,0.01,16923.0,5731.0,1.0
"b[Northern America, 2021, pre]",-0.051,0.741,-1.236,1.182,0.006,0.009,14109.0,5653.0,1.0
"b[Northern America, 2021, pan]",-0.923,0.19,-1.238,-0.614,0.002,0.001,11328.0,6786.0,1.0
"b[Northern America, 2021, pos]",-0.521,0.322,-1.059,0.003,0.003,0.002,10469.0,6531.0,1.0
"b[Northern America, 2022, pre]",-0.057,0.75,-1.244,1.242,0.006,0.01,15942.0,5868.0,1.0
"b[Northern America, 2022, pan]",-0.054,0.734,-1.289,1.13,0.006,0.009,14474.0,6004.0,1.0
"b[Northern America, 2022, pos]",0.475,0.354,-0.113,1.054,0.003,0.003,15346.0,5470.0,1.0
"b[Northern America, 2023, pre]",-0.056,0.743,-1.209,1.212,0.006,0.009,16036.0,6138.0,1.0
"b[Northern America, 2023, pan]",-0.065,0.761,-1.399,1.109,0.006,0.01,14329.0,5297.0,1.0
"b[Northern America, 2023, pos]",0.228,0.56,-0.739,1.136,0.005,0.006,12118.0,6536.0,1.0
"b[Southern Asia, 2017, pre]",-0.034,0.226,-0.41,0.334,0.002,0.003,11246.0,6325.0,1.0
"b[Southern Asia, 2017, pan]",-0.058,0.737,-1.25,1.159,0.006,0.01,14955.0,5481.0,1.0
"b[Southern Asia, 2017, pos]",-0.051,0.745,-1.222,1.221,0.006,0.009,15275.0,5807.0,1.0
"b[Southern Asia, 2018, pre]",-0.176,0.253,-0.598,0.237,0.002,0.002,11150.0,6725.0,1.0
"b[Southern Asia, 2018, pan]",-0.072,0.756,-1.362,1.15,0.006,0.01,17949.0,5932.0,1.0
"b[Southern Asia, 2018, pos]",-0.055,0.754,-1.429,1.093,0.006,0.01,14586.0,5468.0,1.0
"b[Southern Asia, 2019, pre]",0.024,0.167,-0.243,0.301,0.001,0.002,20877.0,5595.0,1.0
"b[Southern Asia, 2019, pan]",-0.057,0.749,-1.282,1.19,0.006,0.01,15833.0,5423.0,1.0
"b[Southern Asia, 2019, pos]",-0.061,0.749,-1.27,1.196,0.006,0.01,16867.0,5812.0,1.0
"b[Southern Asia, 2020, pre]",-0.053,0.737,-1.217,1.218,0.006,0.01,16306.0,5106.0,1.0
"b[Southern Asia, 2020, pan]",0.129,0.094,-0.015,0.297,0.001,0.001,14384.0,7088.0,1.0
"b[Southern Asia, 2020, pos]",-0.05,0.757,-1.323,1.173,0.006,0.01,16414.0,5924.0,1.0
"b[Southern Asia, 2021, pre]",-0.053,0.755,-1.262,1.228,0.006,0.009,15554.0,5632.0,1.0
"b[Southern Asia, 2021, pan]",1.416,0.353,0.837,1.992,0.004,0.003,9349.0,6692.0,1.0
"b[Southern Asia, 2021, pos]",1.56,0.745,0.288,2.727,0.009,0.007,7414.0,6064.0,1.0
"b[Southern Asia, 2022, pre]",-0.048,0.769,-1.232,1.265,0.006,0.01,17457.0,5875.0,1.0
"b[Southern Asia, 2022, pan]",-0.06,0.754,-1.306,1.162,0.006,0.01,15551.0,5045.0,1.0
"b[Southern Asia, 2022, pos]",-1.912,0.162,-2.177,-1.642,0.002,0.001,11029.0,7159.0,1.0
"b[Southern Asia, 2023, pre]",-0.054,0.767,-1.329,1.193,0.005,0.01,21096.0,5340.0,1.0
"b[Southern Asia, 2023, pan]",-0.049,0.754,-1.246,1.221,0.006,0.01,16564.0,5326.0,1.0
"b[Southern Asia, 2023, pos]",-0.497,0.369,-1.127,0.085,0.003,0.003,11101.0,6024.0,1.0
"b[Europe, 2017, pre]",0.637,0.201,0.314,0.971,0.002,0.001,14370.0,6694.0,1.0
"b[Europe, 2017, pan]",-0.053,0.765,-1.289,1.225,0.006,0.01,16732.0,5213.0,1.0
"b[Europe, 2017, pos]",-0.057,0.75,-1.258,1.183,0.006,0.01,15179.0,4807.0,1.0
"b[Europe, 2018, pre]",-0.002,0.289,-0.455,0.488,0.003,0.003,11127.0,6427.0,1.0
"b[Europe, 2018, pan]",-0.057,0.759,-1.312,1.212,0.006,0.009,15973.0,5608.0,1.0
"b[Europe, 2018, pos]",-0.051,0.76,-1.265,1.18,0.006,0.011,16346.0,5227.0,1.0
"b[Europe, 2019, pre]",-0.004,0.18,-0.302,0.28,0.001,0.002,18094.0,5724.0,1.0
"b[Europe, 2019, pan]",-0.04,0.764,-1.26,1.22,0.005,0.01,20393.0,5609.0,1.0
"b[Europe, 2019, pos]",-0.054,0.749,-1.3,1.163,0.006,0.01,14009.0,5020.0,1.0
"b[Europe, 2020, pre]",-0.593,0.211,-0.928,-0.241,0.002,0.002,9535.0,6326.0,1.0
"b[Europe, 2020, pan]",-0.37,0.091,-0.517,-0.219,0.001,0.001,11183.0,6779.0,1.0
"b[Europe, 2020, pos]",-0.064,0.768,-1.354,1.164,0.006,0.01,16317.0,5592.0,1.0
"b[Europe, 2021, pre]",-0.049,0.74,-1.228,1.186,0.006,0.009,16147.0,5896.0,1.0
"b[Europe, 2021, pan]",-0.446,0.221,-0.825,-0.098,0.002,0.002,12647.0,6600.0,1.0
"b[Europe, 2021, pos]",-0.787,0.458,-1.537,-0.034,0.005,0.004,9591.0,5714.0,1.0
"b[Europe, 2022, pre]",-0.058,0.757,-1.28,1.192,0.006,0.01,17224.0,5849.0,1.0
"b[Europe, 2022, pan]",-0.053,0.764,-1.36,1.143,0.006,0.01,18182.0,5991.0,1.0
"b[Europe, 2022, pos]",0.247,0.292,-0.218,0.734,0.002,0.003,15104.0,6552.0,1.0
"b[Europe, 2023, pre]",-0.057,0.769,-1.308,1.208,0.006,0.01,17022.0,5641.0,1.0
"b[Europe, 2023, pan]",-0.051,0.754,-1.273,1.195,0.006,0.01,17882.0,5683.0,1.0
"b[Europe, 2023, pos]",1.054,0.474,0.29,1.816,0.004,0.003,12641.0,4836.0,1.0
"b[South-eastern Asia, 2017, pre]",-0.027,0.265,-0.466,0.391,0.003,0.003,10218.0,6499.0,1.0
"b[South-eastern Asia, 2017, pan]",-0.054,0.754,-1.258,1.221,0.007,0.01,13410.0,5514.0,1.0
"b[South-eastern Asia, 2017, pos]",-0.053,0.743,-1.253,1.162,0.006,0.009,15300.0,5866.0,1.0
"b[South-eastern Asia, 2018, pre]",-0.352,0.234,-0.736,0.036,0.002,0.002,10819.0,6655.0,1.0
"b[South-eastern Asia, 2018, pan]",-0.071,0.755,-1.308,1.188,0.006,0.01,17895.0,5770.0,1.0
"b[South-eastern Asia, 2018, pos]",-0.056,0.754,-1.257,1.216,0.006,0.01,15637.0,5675.0,1.0
"b[South-eastern Asia, 2019, pre]",0.188,0.26,-0.246,0.61,0.002,0.002,12263.0,6895.0,1.0
"b[South-eastern Asia, 2019, pan]",-0.049,0.78,-1.324,1.24,0.006,0.01,16636.0,5426.0,1.0
"b[South-eastern Asia, 2019, pos]",-0.06,0.739,-1.29,1.139,0.006,0.01,17675.0,5404.0,1.0
"b[South-eastern Asia, 2020, pre]",-0.011,0.637,-1.017,1.071,0.006,0.007,12428.0,7118.0,1.0
"b[South-eastern Asia, 2020, pan]",-0.44,0.253,-0.88,-0.044,0.002,0.002,15334.0,5901.0,1.0
"b[South-eastern Asia, 2020, pos]",-0.061,0.759,-1.289,1.186,0.006,0.01,16553.0,5388.0,1.0
"b[South-eastern Asia, 2021, pre]",-0.051,0.754,-1.347,1.121,0.006,0.009,15646.0,5513.0,1.0
"b[South-eastern Asia, 2021, pan]",-0.634,0.208,-0.964,-0.283,0.002,0.001,15426.0,6294.0,1.0
"b[South-eastern Asia, 2021, pos]",0.664,0.543,-0.24,1.555,0.004,0.004,14651.0,6042.0,1.0
"b[South-eastern Asia, 2022, pre]",-0.054,0.766,-1.282,1.196,0.006,0.011,15868.0,4862.0,1.0
"b[South-eastern Asia, 2022, pan]",-0.053,0.752,-1.34,1.132,0.006,0.011,15361.0,5169.0,1.0
"b[South-eastern Asia, 2022, pos]",0.038,0.314,-0.491,0.546,0.003,0.003,11770.0,6028.0,1.0
"b[South-eastern Asia, 2023, pre]",-0.059,0.757,-1.282,1.204,0.006,0.01,16454.0,6005.0,1.0
"b[South-eastern Asia, 2023, pan]",-0.06,0.751,-1.31,1.149,0.006,0.01,16003.0,5645.0,1.0
"b[South-eastern Asia, 2023, pos]",0.044,0.301,-0.452,0.525,0.002,0.004,17707.0,4677.0,1.0
"b[Africa, 2017, pre]",-0.331,0.243,-0.724,0.071,0.002,0.002,12456.0,6710.0,1.0
"b[Africa, 2017, pan]",-0.052,0.745,-1.32,1.133,0.006,0.01,16750.0,5659.0,1.0
"b[Africa, 2017, pos]",-0.053,0.759,-1.36,1.141,0.006,0.01,14859.0,5465.0,1.0
"b[Africa, 2018, pre]",-0.446,0.263,-0.87,-0.007,0.002,0.002,17822.0,5664.0,1.0
"b[Africa, 2018, pan]",-0.059,0.743,-1.346,1.13,0.006,0.01,16286.0,5031.0,1.0
"b[Africa, 2018, pos]",-0.047,0.757,-1.228,1.263,0.006,0.01,15691.0,5811.0,1.0
"b[Africa, 2019, pre]",0.341,0.162,0.068,0.601,0.001,0.001,14429.0,6920.0,1.0
"b[Africa, 2019, pan]",-0.05,0.748,-1.217,1.211,0.006,0.01,17693.0,5421.0,1.0
"b[Africa, 2019, pos]",-0.062,0.759,-1.323,1.157,0.006,0.01,16241.0,5494.0,1.0
"b[Africa, 2020, pre]",0.721,0.282,0.25,1.178,0.003,0.002,9396.0,6335.0,1.0
"b[Africa, 2020, pan]",1.073,0.102,0.898,1.236,0.001,0.001,11464.0,7463.0,1.0
"b[Africa, 2020, pos]",-0.065,0.757,-1.299,1.168,0.006,0.009,14730.0,5863.0,1.0
"b[Africa, 2021, pre]",-0.052,0.752,-1.299,1.197,0.006,0.01,14711.0,5695.0,1.0
"b[Africa, 2021, pan]",1.215,0.106,1.04,1.391,0.001,0.001,10400.0,6619.0,1.0
"b[Africa, 2021, pos]",1.4,0.195,1.075,1.719,0.002,0.001,11054.0,5951.0,1.0
"b[Africa, 2022, pre]",-0.047,0.77,-1.337,1.165,0.006,0.01,16768.0,5949.0,1.0
"b[Africa, 2022, pan]",-0.044,0.75,-1.306,1.131,0.006,0.01,15908.0,5330.0,1.0
"b[Africa, 2022, pos]",-0.577,0.349,-1.165,-0.019,0.003,0.003,12817.0,6829.0,1.0
"b[Africa, 2023, pre]",-0.057,0.747,-1.329,1.122,0.006,0.01,15577.0,5240.0,1.0
"b[Africa, 2023, pan]",-0.05,0.754,-1.226,1.222,0.006,0.01,15897.0,5403.0,1.0
"b[Africa, 2023, pos]",-0.157,0.417,-0.822,0.545,0.003,0.005,15386.0,6287.0,1.0
"b[Southern America, 2017, pre]",0.176,0.144,-0.052,0.424,0.001,0.001,14117.0,6797.0,1.0
"b[Southern America, 2017, pan]",-0.049,0.745,-1.306,1.148,0.006,0.011,15877.0,4871.0,1.0
"b[Southern America, 2017, pos]",-0.058,0.754,-1.335,1.148,0.006,0.009,14462.0,5673.0,1.0
"b[Southern America, 2018, pre]",-0.401,0.317,-0.925,0.118,0.003,0.003,10909.0,6522.0,1.0
"b[Southern America, 2018, pan]",-0.054,0.743,-1.283,1.141,0.006,0.009,14809.0,5794.0,1.0
"b[Southern America, 2018, pos]",-0.048,0.731,-1.267,1.097,0.006,0.009,14062.0,5524.0,1.0
"b[Southern America, 2019, pre]",-0.011,0.189,-0.314,0.304,0.001,0.002,20079.0,5617.0,1.0
"b[Southern America, 2019, pan]",-0.062,0.748,-1.259,1.191,0.006,0.009,15743.0,5526.0,1.0
"b[Southern America, 2019, pos]",-0.05,0.754,-1.27,1.203,0.006,0.01,16284.0,6046.0,1.0
"b[Southern America, 2020, pre]",-0.735,0.291,-1.218,-0.264,0.003,0.002,9179.0,6586.0,1.0
"b[Southern America, 2020, pan]",-0.519,0.14,-0.756,-0.295,0.001,0.001,13224.0,6603.0,1.0
"b[Southern America, 2020, pos]",-0.063,0.771,-1.233,1.266,0.006,0.01,15380.0,5597.0,1.0
"b[Southern America, 2021, pre]",-0.067,0.755,-1.347,1.126,0.006,0.009,14277.0,5953.0,1.0
"b[Southern America, 2021, pan]",-0.22,0.194,-0.523,0.116,0.002,0.002,11918.0,6891.0,1.0
"b[Southern America, 2021, pos]",-0.75,0.212,-1.099,-0.403,0.002,0.001,11431.0,6875.0,1.0
"b[Southern America, 2022, pre]",-0.063,0.751,-1.282,1.172,0.006,0.01,14730.0,5459.0,1.0
"b[Southern America, 2022, pan]",-0.048,0.757,-1.27,1.231,0.006,0.01,17842.0,5886.0,1.0
"b[Southern America, 2022, pos]",-1.554,0.167,-1.84,-1.292,0.001,0.001,12498.0,6953.0,1.0
"b[Southern America, 2023, pre]",-0.05,0.754,-1.284,1.169,0.006,0.01,14844.0,5656.0,1.0
"b[Southern America, 2023, pan]",-0.061,0.748,-1.288,1.152,0.006,0.01,16398.0,5427.0,1.0
"b[Southern America, 2023, pos]",-2.592,0.529,-3.416,-1.679,0.007,0.005,6538.0,6117.0,1.0
"c[Oceania, 2017, pre]",0.591,0.166,0.315,0.859,0.001,0.001,13325.0,6546.0,1.0
"c[Oceania, 2017, pan]",0.496,0.53,-0.387,1.354,0.004,0.005,17374.0,5290.0,1.0
"c[Oceania, 2017, pos]",0.486,0.542,-0.381,1.388,0.004,0.005,14698.0,5199.0,1.0
"c[Oceania, 2018, pre]",0.767,0.2,0.446,1.101,0.002,0.001,10775.0,6117.0,1.0
"c[Oceania, 2018, pan]",0.485,0.527,-0.447,1.301,0.004,0.005,16492.0,5350.0,1.0
"c[Oceania, 2018, pos]",0.49,0.53,-0.339,1.382,0.004,0.005,15577.0,5716.0,1.0
"c[Oceania, 2019, pre]",0.488,0.138,0.253,0.704,0.001,0.001,14534.0,6226.0,1.0
"c[Oceania, 2019, pan]",0.487,0.529,-0.397,1.355,0.004,0.005,15338.0,5696.0,1.0
"c[Oceania, 2019, pos]",0.488,0.523,-0.37,1.341,0.004,0.005,16314.0,5832.0,1.0
"c[Oceania, 2020, pre]",0.509,0.294,0.017,0.984,0.003,0.002,10659.0,6488.0,1.0
"c[Oceania, 2020, pan]",0.321,0.093,0.178,0.483,0.001,0.001,14557.0,6717.0,1.0
"c[Oceania, 2020, pos]",0.489,0.544,-0.42,1.367,0.004,0.006,17194.0,5039.0,1.0
"c[Oceania, 2021, pre]",0.492,0.527,-0.362,1.352,0.004,0.005,17136.0,5556.0,1.0
"c[Oceania, 2021, pan]",0.133,0.134,-0.086,0.358,0.001,0.001,11075.0,6302.0,1.0
"c[Oceania, 2021, pos]",0.407,0.174,0.119,0.686,0.002,0.001,10254.0,6409.0,1.0
"c[Oceania, 2022, pre]",0.479,0.521,-0.371,1.307,0.004,0.005,15965.0,5562.0,1.0
"c[Oceania, 2022, pan]",0.482,0.531,-0.378,1.353,0.004,0.005,17157.0,5560.0,1.0
"c[Oceania, 2022, pos]",-0.459,0.181,-0.744,-0.157,0.002,0.001,11639.0,6557.0,1.0
"c[Oceania, 2023, pre]",0.488,0.531,-0.415,1.318,0.004,0.005,19574.0,5322.0,1.0
"c[Oceania, 2023, pan]",0.487,0.532,-0.392,1.339,0.004,0.005,14574.0,5932.0,1.0
"c[Oceania, 2023, pos]",0.797,0.488,0.015,1.625,0.004,0.003,13684.0,6721.0,1.0
"c[China, 2017, pre]",0.74,0.24,0.345,1.124,0.002,0.002,10388.0,6366.0,1.0
"c[China, 2017, pan]",0.492,0.533,-0.389,1.361,0.004,0.005,15681.0,5406.0,1.0
"c[China, 2017, pos]",0.488,0.528,-0.329,1.392,0.004,0.005,17374.0,5067.0,1.0
"c[China, 2018, pre]",0.489,0.177,0.203,0.78,0.002,0.001,10702.0,6633.0,1.0
"c[China, 2018, pan]",0.48,0.525,-0.399,1.339,0.004,0.004,14881.0,5525.0,1.0
