,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"b_z[Russia, 2023, pan]",0.004,1.009,-1.707,1.584,0.007,0.013,18982.0,5456.0,1.0
"b_z[Russia, 2023, pos]",0.151,0.417,-0.548,0.809,0.004,0.004,8796.0,5689.0,1.0
"b_z[Japan/Korea, 2017, pre]",0.28,0.374,-0.355,0.867,0.004,0.004,7155.0,5829.0,1.0
"b_z[Japan/Korea, 2017, pan]",0.008,1.018,-1.67,1.661,0.007,0.013,18503.0,5721.0,1.0
"b_z[Japan/Korea, 2017, pos]",-0.003,0.996,-1.618,1.635,0.008,0.013,17022.0,5279.0,1.0
"b_z[Japan/Korea, 2018, pre]",-0.122,0.397,-0.746,0.546,0.005,0.004,6467.0,6078.0,1.0
"b_z[Japan/Korea, 2018, pan]",-0.004,0.995,-1.792,1.475,0.007,0.013,17717.0,5278.0,1.0
"b_z[Japan/Korea, 2018, pos]",-0.013,0.993,-1.61,1.637,0.008,0.013,17515.0,5363.0,1.0
"b_z[Japan/Korea, 2019, pre]",-0.474,0.349,-1.034,0.103,0.004,0.003,7463.0,6540.0,1.0
"b_z[Japan/Korea, 2019, pan]",0.01,0.998,-1.63,1.615,0.007,0.013,18058.0,5929.0,1.0
"b_z[Japan/Korea, 2019, pos]",-0.003,0.989,-1.638,1.61,0.007,0.013,20153.0,4799.0,1.0
"b_z[Japan/Korea, 2020, pre]",-0.858,0.49,-1.664,-0.062,0.005,0.004,8444.0,6011.0,1.0
"b_z[Japan/Korea, 2020, pan]",-0.553,0.295,-1.012,-0.035,0.004,0.003,5457.0,6268.0,1.0
"b_z[Japan/Korea, 2020, pos]",-0.003,1.001,-1.628,1.66,0.007,0.013,18371.0,6078.0,1.0
"b_z[Japan/Korea, 2021, pre]",-0.008,0.997,-1.597,1.662,0.008,0.013,17597.0,5350.0,1.0
"b_z[Japan/Korea, 2021, pan]",-0.521,0.323,-1.062,0.001,0.004,0.003,5788.0,5189.0,1.0
"b_z[Japan/Korea, 2021, pos]",0.276,0.491,-0.509,1.09,0.005,0.005,10761.0,6107.0,1.0
"b_z[Japan/Korea, 2022, pre]",0.002,0.973,-1.63,1.581,0.008,0.013,15922.0,5628.0,1.0
"b_z[Japan/Korea, 2022, pan]",-0.007,0.996,-1.57,1.649,0.008,0.014,17400.0,5398.0,1.0
"b_z[Japan/Korea, 2022, pos]",0.585,0.559,-0.298,1.537,0.005,0.005,12408.0,5766.0,1.0
"b_z[Japan/Korea, 2023, pre]",-0.003,0.999,-1.732,1.525,0.008,0.014,17096.0,5128.0,1.0
"b_z[Japan/Korea, 2023, pan]",-0.001,1.0,-1.676,1.638,0.008,0.013,16836.0,5411.0,1.0
"b_z[Japan/Korea, 2023, pos]",1.242,0.565,0.285,2.14,0.006,0.004,10259.0,5971.0,1.0
"b_z[Northern America, 2017, pre]",0.905,0.367,0.299,1.502,0.004,0.003,7245.0,5090.0,1.0
"b_z[Northern America, 2017, pan]",0.013,1.004,-1.616,1.647,0.007,0.014,18628.0,5427.0,1.0
"b_z[Northern America, 2017, pos]",-0.008,0.997,-1.57,1.704,0.007,0.013,17995.0,5667.0,1.0
"b_z[Northern America, 2018, pre]",-0.109,0.524,-0.947,0.77,0.005,0.006,12461.0,5840.0,1.0
"b_z[Northern America, 2018, pan]",-0.021,1.004,-1.657,1.641,0.008,0.013,17057.0,5695.0,1.0
