"virus","tree_id","season","tmrca"
"by",9,"N_Hemisphere_2019",2016.09629336657
"by",9,"S_Hemisphere_2016.5",2005.95971963184
"by",9,"N_Hemisphere_2020",2016.54765426577
"by",9,"S_Hemisphere_2017.5",2013.97878966491
"by",9,"N_Hemisphere_2018",2013.97878966491
"by",9,"S_Hemisphere_2018.5",2014.05077975081
"by",10,"N_Hemisphere_2012",2005.63348069712
"by",10,"N_Hemisphere_2013",2005.63348069712
"by",10,"N_Hemisphere_2011",2005.63348069712
"by",10,"N_Hemisphere_2014",2005.63348069712
"by",10,"N_Hemisphere_2015",2005.63348069712
"by",10,"S_Hemisphere_2012.5",2005.63348069712
"by",10,"S_Hemisphere_2013.5",2005.63348069712
"by",10,"S_Hemisphere_2014.5",2005.63348069712
"by",10,"N_Hemisphere_2016",2011.85746841822
"by",10,"N_Hemisphere_2017",2011.85746841822
"by",10,"S_Hemisphere_2011.5",2005.63348069712
"by",10,"S_Hemisphere_2019.5",2016.47037039331
"by",10,"S_Hemisphere_2015.5",2011.85746841822
"by",10,"S_Hemisphere_2020.5",2016.47037039331
"by",10,"N_Hemisphere_2019",2016.04387698969
"by",10,"S_Hemisphere_2016.5",2005.63348069712
"by",10,"N_Hemisphere_2020",2016.47037039331
"by",10,"S_Hemisphere_2017.5",2013.86544668931
"by",10,"N_Hemisphere_2018",2013.86544668931
"by",10,"S_Hemisphere_2018.5",2013.86544668931
"by",11,"N_Hemisphere_2012",2005.21471878768
"by",11,"N_Hemisphere_2013",2005.21471878768
"by",11,"N_Hemisphere_2011",2005.21471878768
"by",11,"N_Hemisphere_2014",2005.21471878768
"by",11,"N_Hemisphere_2015",2005.21471878768
"by",11,"S_Hemisphere_2012.5",2005.21471878768
"by",11,"S_Hemisphere_2013.5",2005.21471878768
"by",11,"S_Hemisphere_2014.5",2005.21471878768
"by",11,"N_Hemisphere_2016",2011.95634475242
"by",11,"N_Hemisphere_2017",2011.95634475242
"by",11,"S_Hemisphere_2011.5",2005.21471878768
"by",11,"S_Hemisphere_2019.5",2016.54886725693
"by",11,"S_Hemisphere_2015.5",2011.95634475242
"by",11,"S_Hemisphere_2020.5",2016.54886725693
"by",11,"N_Hemisphere_2019",2015.94931399859
"by",11,"S_Hemisphere_2016.5",2005.21471878768
"by",11,"N_Hemisphere_2020",2016.54886725693
"by",11,"S_Hemisphere_2017.5",2013.89445417791
"by",11,"N_Hemisphere_2018",2013.89445417791
"by",11,"S_Hemisphere_2018.5",2014.0463051335
"by",12,"N_Hemisphere_2012",2004.19991501759
"by",12,"N_Hemisphere_2013",2004.19991501759
"by",12,"N_Hemisphere_2011",2004.19991501759
"by",12,"N_Hemisphere_2014",2004.19991501759
"by",12,"N_Hemisphere_2015",2004.19991501759
"by",12,"S_Hemisphere_2012.5",2004.19991501759
"by",12,"S_Hemisphere_2013.5",2004.19991501759
"by",12,"S_Hemisphere_2014.5",2004.19991501759
"by",12,"N_Hemisphere_2016",2011.6734399131
"by",12,"N_Hemisphere_2017",2011.6734399131
"by",12,"S_Hemisphere_2011.5",2004.19991501759
"by",12,"S_Hemisphere_2019.5",2016.5824764062
"by",12,"S_Hemisphere_2015.5",2011.6734399131
"by",12,"S_Hemisphere_2020.5",2016.67130375047
"by",12,"N_Hemisphere_2019",2015.86217447691
"by",12,"S_Hemisphere_2016.5",2004.19991501759
"by",12,"N_Hemisphere_2020",2016.67130375047
"by",12,"S_Hemisphere_2017.5",2014.15631751122
"by",12,"N_Hemisphere_2018",2014.15631751122
"by",12,"S_Hemisphere_2018.5",2014.15631751122
"by",13,"N_Hemisphere_2012",2005.837348337
"by",13,"N_Hemisphere_2013",2005.837348337
"by",13,"N_Hemisphere_2011",2005.837348337
"by",13,"N_Hemisphere_2014",2005.837348337
"by",13,"N_Hemisphere_2015",2005.837348337
"by",13,"S_Hemisphere_2012.5",2005.837348337
"by",13,"S_Hemisphere_2013.5",2005.837348337
"by",13,"S_Hemisphere_2014.5",2005.837348337
"by",13,"N_Hemisphere_2016",2011.97985966309
"by",13,"N_Hemisphere_2017",2011.97985966309
"by",13,"S_Hemisphere_2011.5",2005.837348337
"by",13,"S_Hemisphere_2019.5",2016.53747801045
"by",13,"S_Hemisphere_2015.5",2011.97985966309
"by",13,"S_Hemisphere_2020.5",2016.53747801045
"by",13,"N_Hemisphere_2019",2015.99586619782
"by",13,"S_Hemisphere_2016.5",2005.837348337
"by",13,"N_Hemisphere_2020",2016.5307535545
"by",13,"S_Hemisphere_2017.5",2013.9826571208
"by",13,"N_Hemisphere_2018",2013.9826571208
"by",13,"S_Hemisphere_2018.5",2013.9826571208
"by",14,"N_Hemisphere_2012",2006.06862906214
"by",14,"N_Hemisphere_2013",2006.06862906214
"by",14,"N_Hemisphere_2011",2006.06862906214
"by",14,"N_Hemisphere_2014",2006.06862906214
"by",14,"N_Hemisphere_2015",2006.06862906214
"by",14,"S_Hemisphere_2012.5",2006.06862906214
"by",14,"S_Hemisphere_2013.5",2006.06862906214
"by",14,"S_Hemisphere_2014.5",2006.06862906214
"by",14,"N_Hemisphere_2016",2011.68799812929
"by",14,"N_Hemisphere_2017",2011.68799812929
"by",14,"S_Hemisphere_2011.5",2006.06862906214
"by",14,"S_Hemisphere_2019.5",2016.64813585032
"by",14,"S_Hemisphere_2015.5",2011.68799812929
"by",14,"S_Hemisphere_2020.5",2016.64813585032
"by",14,"N_Hemisphere_2019",2015.88910250561
"by",14,"S_Hemisphere_2016.5",2006.06862906214
"by",14,"N_Hemisphere_2020",2016.64813585032
"by",14,"S_Hemisphere_2017.5",2014.08941936963
"by",14,"N_Hemisphere_2018",2014.08941936963
"by",14,"S_Hemisphere_2018.5",2014.08941936963
"by",15,"N_Hemisphere_2012",2005.50414487559
"by",15,"N_Hemisphere_2013",2005.50414487559
"by",15,"N_Hemisphere_2011",2005.50414487559
"by",15,"N_Hemisphere_2014",2005.50414487559
"by",15,"N_Hemisphere_2015",2005.50414487559
"by",15,"S_Hemisphere_2012.5",2005.50414487559
"by",15,"S_Hemisphere_2013.5",2005.50414487559
"by",15,"S_Hemisphere_2014.5",2005.50414487559
"by",15,"N_Hemisphere_2016",2012.00600025008
"by",15,"N_Hemisphere_2017",2012.00600025008
"by",15,"S_Hemisphere_2011.5",2005.50414487559
"by",15,"S_Hemisphere_2019.5",2016.51852497801
"by",15,"S_Hemisphere_2015.5",2012.00600025008
"by",15,"S_Hemisphere_2020.5",2016.51852497801
"by",15,"N_Hemisphere_2019",2016.15478210819
"by",15,"S_Hemisphere_2016.5",2005.50414487559
"by",15,"N_Hemisphere_2020",2016.51852497801
"by",15,"S_Hemisphere_2017.5",2014.03128042447
"by",15,"N_Hemisphere_2018",2013.70862315369
"by",15,"S_Hemisphere_2018.5",2014.03128042447
"by",16,"N_Hemisphere_2012",2006.88086858983
"by",16,"N_Hemisphere_2013",2006.88086858983
"by",16,"N_Hemisphere_2011",2006.88086858983
"by",16,"N_Hemisphere_2014",2006.88086858983
"by",16,"N_Hemisphere_2015",2006.88086858983
"by",16,"S_Hemisphere_2012.5",2006.88086858983
"by",16,"S_Hemisphere_2013.5",2006.88086858983
"by",16,"S_Hemisphere_2014.5",2006.88086858983
"by",16,"N_Hemisphere_2016",2011.99636235334
"by",16,"N_Hemisphere_2017",2011.99636235334
"by",16,"S_Hemisphere_2011.5",2006.88086858983
"by",16,"S_Hemisphere_2019.5",2016.68793945083
"by",16,"S_Hemisphere_2015.5",2011.99636235334
"by",16,"S_Hemisphere_2020.5",2016.68793945083
"by",16,"N_Hemisphere_2019",2016.00895615768
"by",16,"S_Hemisphere_2016.5",2006.88086858983
"by",16,"N_Hemisphere_2020",2016.68793945083
"by",16,"S_Hemisphere_2017.5",2014.00755552326
"by",16,"N_Hemisphere_2018",2013.47455133563
"by",16,"S_Hemisphere_2018.5",2014.00755552326
"by",17,"N_Hemisphere_2012",2004.37430395232
"by",17,"N_Hemisphere_2013",2004.37430395232
"by",17,"N_Hemisphere_2011",2004.37430395232
"by",17,"N_Hemisphere_2014",2004.37430395232
"by",17,"N_Hemisphere_2015",2004.37430395232
"by",17,"S_Hemisphere_2012.5",2004.37430395232
"by",17,"S_Hemisphere_2013.5",2004.37430395232
"by",17,"S_Hemisphere_2014.5",2004.37430395232
"by",17,"N_Hemisphere_2016",2012.14167143017
"by",17,"N_Hemisphere_2017",2012.14167143017
"by",17,"S_Hemisphere_2011.5",2004.37430395232
"by",17,"S_Hemisphere_2019.5",2016.65814405891
